"species","DD_mean","DD_sd","DD_se","DD_n","ID_C_mean","ID_C_sd","ID_C_se","ID_C_n","ID_T_mean","ID_T_sd","ID_T_se","ID_T_n","iter"
"ARCA",0.0224617371240473,0.0121844080232973,0.00609220401164866,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0132228630298256,0.00225800385241225,0.00130365913202143,3,"A"
"ARCA",0.0214906210869934,0.0128998645393531,0.00644993226967655,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0145176844125641,0.00310895816448979,0.00179495783316747,3,"B"
"ARCA",0.0209713726716315,0.013382748261616,0.00669137413080801,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0152100156330466,0.00196289981426128,0.00113328073615602,3,"C"
"ARCA",0.0220991960640569,0.0124208374878338,0.00621041874391688,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0137062511098127,0.00302605198250286,0.00174709192667983,3,"D"
"ARCA",0.0206747776066141,0.0131058957093824,0.00655294785469118,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0156054757197365,0.0046127853505291,0.00266319286384194,3,"E"
"ARCA",0.0201555291912522,0.0135398035591491,0.00676990177957455,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.016297806940219,0.00363397961639308,0.00209807910975416,3,"F"
"ARCA",0.0212833525836776,0.0126869699396802,0.00634348496984008,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0147940424169851,0.00483912891970933,0.00279387238443749,3,"G"
"ARCA",0.0191844131541983,0.0139750038277979,0.00698750191389894,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0175926283229575,0.00241419509271776,0.00139383618665687,3,"H"
"ARCA",0.0203122365466238,0.0132610074091638,0.0066305037045819,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0160888637997236,0.00467771505895453,0.00270068004847976,3,"I"
"ARCA",0.0197929881312619,0.0136716531038482,0.00683582655192408,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0167811950202061,0.0035784135251424,0.00206599801201276,3,"J"
"ARCA",0.0157111704162931,0.00362167173874135,0.00181083586937067,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0222236186401645,0.0156500274716402,0.00903554757357652,3,"K"
"ARCA",0.0151919220009312,0.00421964024653722,0.00210982012326861,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0229159498606469,0.0149367177830043,0.008623718032827,3,"L"
"ARCA",0.0163197453933567,0.00321970222852131,0.00160985111426065,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.021412185337413,0.016222616452922,0.00936613197605459,3,"M"
"ARCA",0.0142208059638774,0.00411410329546195,0.00205705164773098,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0242107712433855,0.0137847788999421,0.00795864580860105,3,"N"
"ARCA",0.0153486293563028,0.0035224457759928,0.0017612228879964,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0227070067201516,0.0153599868212069,0.00886809252597292,3,"O"
"ARCA",0.0148293809409409,0.00407363288512014,0.00203681644256007,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.023399337940634,0.0145981978146455,0.00842827343796898,3,"P"
"ARCA",0.0145327858759235,0.0020983829559012,0.0010491914779506,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.023794798027324,0.0148598971098618,0.00857936559650884,3,"R"
"ARCA",0.0226124032097979,0.0120228387401949,0.00601141937009746,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0130219749154914,0.00230031043103134,0.00132808484657565,3,"U"
"ARCA",0.022093154794436,0.0126013248051644,0.00630066240258221,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0137143061359739,0.00160790610303507,0.000928325021418941,3,"V"
"ARCA",0.0232209781868614,0.011427985272676,0.00571399263633798,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.01221054161274,0.00106854682624314,0.000616925797773196,3,"W"
"ARCA",0.0211220387573821,0.0132584160644233,0.00662920803221167,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0150091275187124,0.00228984898639532,0.00132204492869893,3,"X"
"ARCA",0.0222498621498076,0.0122683216771299,0.00613416083856496,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0135053629954785,0.00310502142376717,0.00179268495485153,3,"Y"
"ARCA",0.0217306137344457,0.012816179432927,0.00640808971646348,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.014197694215961,0.00243538457352561,0.00140606993910527,3,"Z"
"ARCA",0.0203061952770028,0.0134291366975189,0.00671456834875946,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0160969188258848,0.00390535703687767,0.00225475893652292,3,"A1"
"ARCA",0.0214340186694282,0.0125507571740289,0.00627537858701446,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0145931543026509,0.00495549282879833,0.00286105511867397,3,"B1"
"ARCA",0.0209147702540664,0.0130435645549786,0.00652178227748932,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0152854855231334,0.0043113238692089,0.00248914399645142,3,"C1"
"ARCA",0.0199436542170125,0.013567431259899,0.00678371562994949,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0165803069058719,0.00389131980820032,0.00224665453876738,3,"D1"
"ARCA",0.0153425880866818,0.00410061644244096,0.00205030822122048,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0227150617463128,0.0151373730421524,0.00873956640071046,3,"E1"
"ARCA",0.0164704114791073,0.0029871459972611,0.00149357299863055,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0212112972230789,0.0163799128144309,0.00945694707271427,3,"F1"
"ARCA",0.0159511630637454,0.00382925468195431,0.00191462734097716,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0219036284435614,0.0157666200322394,0.00910286231982398,3,"G1"
"ARCA",0.0149800470266915,0.00396860638768485,0.00198430319384243,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0231984498262999,0.0148132786608275,0.00855245042240967,3,"H1"
"ARCA",0.0141642035463122,0.00263506017709714,0.00131753008854857,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.0242862411334723,0.0142378653257727,0.00822023537852051,3,"I1"
"ARDO",0.0767119127604914,0.0400412332886032,0.0200206166443016,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0146391707265874,0.00593849774453762,0.00342859327139078,3,"A"
"ARDO",0.0725744609553313,0.0459281267290179,0.022964063364509,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0201557731334676,0.0149510069687468,0.00863196789806194,3,"B"
"ARDO",0.0696059765815295,0.0505655298990205,0.0252827649495103,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0241137522985367,0.0115588343226041,0.00667349610767375,3,"C"
"ARDO",0.0711485672129075,0.0481200465933029,0.0240600232966514,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0220569647900327,0.0142758290731347,0.0082421537582794,3,"D"
"ARDO",0.0652137045030955,0.0494522261606531,0.0247261130803265,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.029970115069782,0.0317782816419563,0.0183471994603672,3,"E"
"ARDO",0.0622452201292937,0.0532422315462283,0.0266211157731142,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0339280942348511,0.028344282367437,0.0163645790548265,3,"F"
"ARDO",0.0637878107606717,0.0512218733945108,0.0256109366972554,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0318713067263471,0.0305638517770477,0.0176460480509503,3,"G"
"ARDO",0.0581077683241336,0.0564022490580727,0.0282011245290363,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0394446966417313,0.0259313947038565,0.014971497712734,3,"H"
"ARDO",0.0596503589555116,0.0546550867825652,0.0273275433912826,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0373879091332273,0.0289348813816663,0.0167055615546749,3,"I"
"ARDO",0.0566818745817097,0.0577265263761532,0.0288632631880766,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0413458882982964,0.0232956669000682,0.0134497595557063,3,"J"
"ARDO",0.0641040859443293,0.0493308656380183,0.0246654328190091,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0314496064814703,0.0343296322481164,0.0198202224196309,3,"K"
"ARDO",0.0611356015705274,0.0530468015821923,0.0265234007910962,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0354075856465394,0.030894909298351,0.017837184199992,3,"L"
"ARDO",0.0626781922019054,0.0510634189151425,0.0255317094575712,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0333507981380354,0.033081340834996,0.0190995210362387,3,"M"
"ARDO",0.0569981497653673,0.0561088138180013,0.0280544069090006,4,0.0324115861230918,0.0142746324773565,0.00638380971463906,5,0.0409241880534196,0.028267454983912,0.0163202227442672,3,"N"
