species,sample,treat,plant_g,comp,arth_mg,arth_abun,herb_mg,herb_abun,herb_mg_dens,herb_abun_dens,pred_herb,var
ERPA,ERPA10,C,847.25,25,8.013426931,14,4.055799222,11,0.004787016,0.012983181,0.272727273,C
ERPA,ERPA2,C,610.02,18,2.36830184,6,2.36830184,6,0.003882335,0.009835743,0,C
ERPA,ERPA4,C,847.25,30,15.29631684,20,12.53143167,17,0.014790713,0.020064916,0.176470588,C
ERPA,ERPA6,C,305.01,22,2.36813861,12,2.36813861,12,0.007764134,0.039342972,0,C
ERPA,ERPA8,C,982.81,90,25.17285736,29,17.56617087,24,0.017873415,0.024419776,0.208333333,C
ERPA,ERPA12,T,643.91,11,9.646746348,18,5.85101329,14,0.009086694,0.021742169,0.285714286,DD
ERPA,ERPA5,T,813.36,31,20.20153765,39,6.656250754,29,0.008183647,0.035654569,0.344827586,DD
ERPA,ERPA7,T,1152.26,20,22.00150378,26,5.222371316,19,0.004532286,0.016489334,0.368421053,DD
ERPA,ERPA1,T,542.24,30,8.965558631,7,8.032585115,6,0.014813708,0.011065211,0.166666667,ID
ERPA,ERPA11,T,508.35,18,2.396299791,16,1.127324633,13,0.002217615,0.025572932,0.230769231,ID
ERPA,ERPA13,T,948.92,15,9.309874677,27,7.521104163,25,0.007925962,0.02634574,0.08,ID
ERPA,ERPA3,T,542.24,25,30.58047191,23,22.44763875,17,0.041397976,0.031351431,0.352941176,ID
ISME,ISME10,C,779.52,19,35.49519569,21,35.49519569,21,0.045534682,0.026939655,0,C
ISME,ISME11,C,974.4,10,39.86336896,33,38.41769302,31,0.039427025,0.03181445,0.064516129,C
ISME,ISME12,C,1364.16,24,20.40744717,35,19.2815049,32,0.014134343,0.023457659,0.09375,C
ISME,ISME13,C,779.52,11,23.23633884,25,23.23633884,25,0.029808522,0.032071018,0,C
ISME,ISME9,C,1071.84,25,25.84534672,25,24.81994188,23,0.023156387,0.021458427,0.086956522,C
ISME,ISME1,T,876.96,17,16.05948352,15,13.9812461,12,0.015942855,0.013683634,0.25,DD
ISME,ISME6,T,584.64,14,25.81198088,32,25.81198088,32,0.044150214,0.054734537,0,ID
ISME,ISME7,T,1169.28,21,12.27690423,15,10.17805152,13,0.008704546,0.011117953,0.153846154,DD
ISME,ISME8,T,682.08,11,37.25076762,28,33.73039303,23,0.049452253,0.033720385,0.217391304,DD
ISME,ISME2,T,779.52,17,12.74780846,18,5.865478893,13,0.007524475,0.016676929,0.384615385,ID
ISME,ISME3,T,876.96,14,24.67618131,10,18.93261724,8,0.021588918,0.009122423,0.25,ID
ISME,ISME4,T,1071.84,15,14.60256448,19,10.51917725,16,0.00981413,0.014927601,0.1875,ID
ISME,ISME5,T,876.96,14,16.78684077,16,8.771653304,13,0.010002341,0.014823937,0.230769231,DD
LUAL,LUAL2,C,505.52,12,16.63146256,27,8.411979476,24,0.016640251,0.047475866,0.125,C
LUAL,LUAL3,C,379.14,5,6.524804541,15,5.747248429,13,0.015158644,0.034288126,0.153846154,C
LUAL,LUAL5,C,315.95,5,3.198809844,16,2.761670472,15,0.008740847,0.047475866,0.066666667,C
LUAL,LUAL8,C,568.71,9,8.025092022,9,8.025092022,9,0.014111044,0.015825289,0,C
LUAL,LUAL9,C,821.47,5,10.97885662,28,10.36827983,27,0.012621617,0.032867908,0.037037037,C
LUAL,LUAL1,T,252.76,4,19.66984722,35,16.85567186,31,0.066686469,0.122645988,0.129032258,DD
LUAL,LUAL12,T,758.28,11,32.56450744,51,23.47180868,44,0.030954013,0.058026059,0.159090909,DD
LUAL,LUAL6,T,379.14,3,18.07485691,23,12.55286557,19,0.033108787,0.050113415,0.210526316,DD
LUAL,LUAL7,T,631.9,4,34.88236854,39,18.99067655,29,0.030053294,0.045893338,0.344827586,DD
LUAL,LUAL10,T,505.52,7,10.69117507,9,10.37332138,7,0.020520101,0.013847128,0.285714286,ID
LUAL,LUAL11,T,505.52,5,42.68645437,41,30.59635311,34,0.060524516,0.067257477,0.205882353,ID
LUAL,LUAL13,T,631.9,10,22.98122841,36,22.83553246,35,0.03613789,0.055388511,0.028571429,ID
LUAL,LUAL4,T,505.52,7,4.853135983,16,0.80625938,14,0.001594911,0.027694255,0.142857143,ID
SAAP,SAAP12,C,860.22,8,10.45660383,21,9.943901413,20,0.011559719,0.023249866,0.05,C
SAAP,SAAP2,C,764.64,7,16.94386529,38,14.61777914,35,0.019117204,0.045773174,0.085714286,C
SAAP,SAAP4,C,1624.86,13,20.21293594,37,15.74371552,34,0.009689275,0.02092488,0.088235294,C
SAAP,SAAP6,C,1146.96,9,14.42427643,31,12.86058731,28,0.01121276,0.02441236,0.107142857,C
SAAP,SAAP8,C,573.48,8,3.036565578,6,3.036565578,6,0.005294981,0.01046244,0,C
SAAP,SAAP1,T,1433.7,12,47.67420412,37,23.87798558,31,0.016654799,0.021622376,0.193548387,DD
SAAP,SAAP15,T,764.64,8,40.90589527,38,17.77535892,26,0.023246703,0.034002929,0.461538462,DD
SAAP,SAAP3,T,1146.96,14,64.31433058,52,31.32534448,37,0.027311628,0.03225919,0.405405405,DD
SAAP,SAAP5,T,716.85,17,7.737926668,19,7.737926668,19,0.010794346,0.026504848,0,DD
SAAP,SAAP10,T,1529.28,13,33.64024412,73,28.74964289,69,0.018799463,0.045119272,0.057971014,ID
SAAP,SAAP11,T,1146.96,10,49.81187386,46,49.4584005,45,0.043121295,0.039234149,0.022222222,ID
SAAP,SAAP7,T,860.22,11,36.80966976,33,26.84885468,27,0.031211614,0.03138732,0.222222222,ID
SAAP,SAAP9,T,955.8,6,23.60328951,22,22.28408027,21,0.023314585,0.021971124,0.047619048,ID
SAME,SAME11,C,753,8,7.38196921,13,5.936293272,11,0.007883524,0.014608234,0.181818182,C
SAME,SAME2,C,627.5,6,4.304885369,10,4.304885369,10,0.006860375,0.015936255,0,C
SAME,SAME6,C,439.25,4,14.39793197,16,14.39793197,16,0.032778445,0.036425726,0,C
SAME,SAME8,C,NA,6,3.391640968,12,3.391640968,12,NA,NA,0,C
SAME,SAME9,C,439.25,6,5.644283239,9,5.644283239,9,0.01284982,0.020489471,0,C
SAME,SAME10,T,502,4,10.41884582,24,2.403540343,18,0.004787929,0.035856574,0.333333333,DD
SAME,SAME14,T,376.5,14,22.21618956,19,10.86988527,14,0.028870877,0.037184595,0.357142857,DD
SAME,SAME3,T,502,4,12.02856593,17,5.164351168,13,0.010287552,0.025896414,0.307692308,DD
SAME,SAME4,T,627.5,4,23.72825275,42,14.37674115,36,0.022911141,0.057370518,0.166666667,DD
SAME,SAME1,T,376.5,5,12.92980115,12,10.55110091,10,0.028024172,0.026560425,0.2,ID
SAME,SAME12,T,502,7,12.52632239,27,8.961068551,24,0.017850734,0.047808765,0.125,ID
SAME,SAME5,T,313.75,5,9.596793241,24,7.421787007,22,0.023655098,0.070119522,0.090909091,ID
SAME,SAME7,T,439.25,8,5.628688768,14,4.085138462,12,0.009300258,0.027319294,0.166666667,ID
