"contrasts","variance","cont_std","trait","node"
0.626008075452496,161.280437378435,0.0492934357305223,"birdfx","Gunneridae"
-0.219860459423198,176.744349571348,-0.0165376715349691,"birdfx","Pentapetalae"
-0.223423943176649,186.547453031654,-0.0163581825490407,"birdfx","2"
-0.578059147121801,42.6518987568207,-0.0885121913481166,"birdfx","3"
-0.314913376549848,4.5224605,-0.148082493035375,"birdfx","4"
-0.134457247440684,47.39284125,-0.0195311512556114,"birdfx","5"
-0.084002915749081,7.178585,-0.0313526992962087,"birdfx","6"
0.561415831598461,3.1717,0.315238029561526,"birdfx","7"
-0.0159673407800958,161.280437378435,-0.00125730819999738,"resist","Gunneridae"
0.00641348460031018,176.744349571348,0.000482415537531261,"resist","Pentapetalae"
-0.00000180755781323608,186.547453031654,-0.000000132341951612064,"resist","2"
0.014392869960189,42.6518987568207,0.00220383063966356,"resist","3"
-0.00541942755143929,4.5224605,-0.00254839077156411,"resist","4"
-0.00478980534638489,47.39284125,-0.000695763259220737,"resist","5"
0.0201629089577397,7.178585,0.0075254723702345,"resist","6"
-0.0056656764367775,3.1717,-0.00318130799941589,"resist","7"
-0.03821449879995,161.280437378435,-0.00300910485732608,"hpq","Gunneridae"
0.141658576117633,176.744349571348,0.0106554084717683,"hpq","Pentapetalae"
0.406467488499096,186.547453031654,0.0297598783844813,"hpq","2"
-0.509623117376021,42.6518987568207,-0.0780332931417232,"hpq","3"
0.504777777777777,4.5224605,0.237362898271035,"hpq","4"
1.10164094046885,47.39284125,0.160023473983156,"hpq","5"
-2.44994,7.178585,-0.914399594690186,"hpq","6"
0.46244,3.1717,0.259662564155648,"hpq","7"
-7.41942714194883,161.280437378435,-0.584224180677843,"comp","Gunneridae"
10.1996426034718,176.744349571348,0.767206343481767,"comp","Pentapetalae"
4.42980372394544,186.547453031654,0.324332016266615,"comp","2"
14.1453498642486,42.6518987568207,2.16593045902726,"comp","3"
-10.6923076923077,4.5224605,-5.02787019314694,"comp","4"
-1.83653811908471,47.39284125,-0.266774045083465,"comp","5"
4.91666666666666,7.178585,1.83506453514239,"comp","6"
3.98351648351647,3.1717,2.23676607660708,"comp","7"
