"species","sample","treat","plant_g","comp","arth_mg","arth_abun","herb_mg","herb_abun","pred_mg_dens","herb_mg_dens","herb_abun_dens","pred_herb"
"ARCA","ARCA1","C",791,11,15.264625893239,17,7.04144793793825,15,0.010395926618585,0.00890195693797503,0.0189633375474083,0.133333333333333
"ARCA","ARCA10","C",904,7,10.6080981955253,42,8.08370201114919,39,0.00279247365528336,0.00894214824242167,0.043141592920354,0.0769230769230769
"ARCA","ARCA11","T",1130,12,24.3655751221259,36,14.1262391631463,33,0.00906135925573419,0.0125010966045542,0.0292035398230088,0.0909090909090909
"ARCA","ARCA14","C",565,6,26.4582522648963,43,13.4664722574356,30,0.0229943008981606,0.0238344641724523,0.0530973451327434,0.433333333333333
"ARCA","ARCA2","T",678,9,27.1918868338727,19,27.1918868338727,19,0,0.0401060277785733,0.028023598820059,0
"ARCA","ARCA3","T",678,8,16.0093372882061,43,13.7305841337222,42,0.00336099285322114,0.0202515990172894,0.0619469026548673,0.0238095238095238
"ARCA","ARCA4","T",791,7,23.5631790294773,20,13.4376860507558,17,0.0128008760792939,0.0169882250957722,0.0214917825537295,0.176470588235294
"ARCA","ARCA5","C",565,10,15.9818098198942,25,7.39329912099034,18,0.0152009038918653,0.0130854851698944,0.031858407079646,0.388888888888889
"ARCA","ARCA6","T",904,10,16.3792992050362,28,11.8457998965911,26,0.00501493286332421,0.0131037609475566,0.0287610619469027,0.0769230769230769
"ARCA","ARCA7","T",1017,12,27.3100748710394,20,11.214222329973,14,0.015826796992199,0.0110267672861092,0.0137659783677483,0.428571428571429
"ARCA","ARCA8","C",791,11,15.4219663353367,26,8.32051940591107,21,0.00897780901318034,0.0105189878709369,0.0265486725663717,0.238095238095238
"ARCA","ARCA9","T",791,6,13.8360308812785,21,12.2906061369464,17,0.00195376073872572,0.0155380608558109,0.0214917825537295,0.235294117647059
"ARDO","ARDO1","T",279.12,3,25.0795285201913,52,15.337595575639,47,0.034902310635398,0.0549498265106013,0.168386357122385,0.106382978723404
"ARDO","ARDO10","C",418.68,3,9.35651890285477,26,5.25691704518636,22,0.0097917308151056,0.012555930651539,0.0525460972580491,0.181818181818182
"ARDO","ARDO11","C",488.46,6,11.2160331591879,25,7.9384455635845,21,0.0067100429832604,0.0162519869868249,0.0429922613929493,0.19047619047619
"ARDO","ARDO12","T",348.9,8,17.064516515059,42,17.064516515059,42,0,0.0489094769706477,0.120378331900258,0
"ARDO","ARDO13","C",488.46,5,8.74620652643898,21,7.78215637403568,19,0.00197365219752549,0.0159320238587309,0.0388977603079065,0.105263157894737
"ARDO","ARDO3","T",418.68,8,37.8734814665155,47,33.2930426389524,42,0.0109401901871671,0.0795190662055803,0.100315276583548,0.119047619047619
"ARDO","ARDO4","T",558.24,2,34.8601704323725,49,20.6817585687297,46,0.0253984162074427,0.0370481487688622,0.0824018343364861,0.0652173913043478
"ARDO","ARDO5","T",279.12,3,6.02958208405667,16,6.02958208405667,16,0,0.021602114087334,0.057323015190599,0
"ARDO","ARDO6","T",418.68,3,10.051765712036,20,4.55253701492098,14,0.013134682089221,0.0108735478525866,0.0334384255278494,0.428571428571429
"ARDO","ARDO7","T",348.9,2,18.1664233062738,14,6.19427287109738,11,0.0343139880629876,0.0177537198942315,0.0315276583548295,0.272727272727273
"ARDO","ARDO8","C",279.12,3,15.8808796495802,26,15.6160259586911,25,0.000948888259132519,0.0559473558279275,0.089567211235311,0.04
"ARDO","ARDO9","C",279.12,4,18.9127986676647,28,6.90719788881107,24,0.0430123272386557,0.0247463380940494,0.0859845227858985,0.166666666666667
"ENCA","ENCA1","T",219.9,6,16.1682371206426,21,8.42361428011232,17,0.0352188396567996,0.0383065678950083,0.0773078672123693,0.235294117647059
"ENCA","ENCA10","C",703.68,12,1.14733509148598,6,1.14733509148598,6,0,0.00163047847243915,0.00852660300136426,0
"ENCA","ENCA11","C",527.76,6,6.65572620368515,17,6.04514941402347,16,0.00115692130828726,0.011454353141624,0.0303168106715174,0.0625
"ENCA","ENCA12","T",263.88,4,16.4192360533075,17,4.94570220472436,14,0.0434801191775924,0.0187422396722918,0.0530544186751554,0.214285714285714
"ENCA","ENCA14","T",175.92,5,2.03532278241925,7,2.03532278241925,7,0,0.0115695928968807,0.0397908140063665,0
"ENCA","ENCA2","C",703.68,8,8.22087708398803,18,4.13916297380624,13,0.00580052596376448,0.00588216657259868,0.0184743065029559,0.384615384615385
"ENCA","ENCA3","T",615.72,10,14.9761222489495,22,12.125845201859,21,0.00462917729989348,0.0196937653509047,0.034106412005457,0.0476190476190476
"ENCA","ENCA4","C",615.72,12,18.3411335188293,36,15.863684417667,33,0.00402366189365676,0.0257644455558809,0.0535957902942896,0.0909090909090909
"ENCA","ENCA5","C",439.8,15,12.2985697125205,24,9.95395563304507,21,0.00533109158589221,0.0226329141269783,0.0477489768076398,0.142857142857143
"ENCA","ENCA6","T",527.76,8,15.4173388597296,18,4.65374813093248,15,0.020394858891915,0.00881792506240048,0.0284220100045475,0.2
"ENCA","ENCA7","C",659.7,7,14.3572097339205,17,11.2698770496149,15,0.00467990402350401,0.0170833364402227,0.022737608003638,0.133333333333333
"ENCA","ENCA8","T",791.64,7,33.0639629435975,26,26.5920160599996,23,0.0081753661810897,0.0335910465110399,0.0290536102268708,0.130434782608696
