"species","Sample","treat","plant_total_mg","plant_total_abun","herb_mg","herb_abun","omni_mg","omni_abun","pred_mg","pred_abun","iph_mg","iph_abun"
"ERFA","ERFA2","T",16.1538283929252,45,3.06086967175917,11,0.8866,26,12.206358721166,8,3.98787273884505,0.727272727272727
"ERFA","ERFA3","T",2.58359808220049,17,1.60892331361225,14,0.974674768588241,3,NA,NA,NA,NA
"ERFA","ERFA4","C",7.81204479640966,28,5.75564222406498,19,0.23692322268538,3,1.81947934965931,6,0.316120995508002,0.315789473684211
"ERFA","ERFA5","C",10.9975880496789,25,4.62574554677443,19,NA,NA,6.37184250290447,6,1.37747362851543,0.315789473684211
"ERFA","ERFA6","T",16.9261748262732,28,7.47016645728289,20,4.66805519191317,5,4.78795317707711,3,0.640943304872301,0.15
"ERFA","ERFA7","C",12.2887254626724,30,6.75029054793654,24,1.81642160754831,2,3.72201330718755,4,0.551385644922397,0.166666666666667
"ERFA","ERFA8","T",7.60803298554308,28,5.32927983105915,27,NA,NA,2.27875315448393,1,0.427591199321776,0.037037037037037
"ERFA","ERFA9","C",11.6984501552935,28,4.33574323636857,10,2.3565203676873,11,5.00618655123766,7,1.15463169249631,0.7
"ERPA","ERPA1","T",8.96555863090126,7,7.37906898412583,5,0.653516130647452,1,0.932973516127979,1,0.126435125912907,0.2
"ERPA","ERPA10","C",8.01342693070595,14,4.0505076372147,10,0.00529158468263005,1,3.95762770880862,3,0.97706955850355,0.3
"ERPA","ERPA11","T",2.39629979144087,16,1.12732463349785,13,NA,NA,1.26897515794302,3,1.12565193754852,0.230769230769231
"ERPA","ERPA12","T",9.64674634835244,18,5.31010762562637,11,0.540905664538888,3,3.79573305818719,4,0.714812829756807,0.363636363636364
"ERPA","ERPA13","T",9.30987467722145,27,7.52110416336394,25,NA,NA,1.78877051385752,2,0.237833498247611,0.08
"ERPA","ERPA2","C",2.36830184041556,6,2.36830184041556,6,NA,NA,NA,NA,NA,NA
"ERPA","ERPA3","T",30.5804719132026,23,22.4476387480728,17,NA,NA,8.13283316512978,6,0.362302389859513,0.352941176470588
"ERPA","ERPA4","C",15.2963168394707,20,12.5314316654703,17,NA,NA,2.76488517400045,3,0.220636017321066,0.176470588235294
"ERPA","ERPA5","T",20.2015376479655,39,6.65625075363885,29,NA,NA,13.5452868943267,10,2.03497244855472,0.344827586206897
"ERPA","ERPA6","C",2.36813860970498,12,2.36813860970498,12,NA,NA,NA,NA,NA,NA
"ERPA","ERPA7","T",22.0015037798603,26,3.02490105004261,9,2.19747026598099,10,16.7791324638367,7,5.54700209568851,0.777777777777778
"ERPA","ERPA8","C",25.1728573564273,29,17.5661708728837,24,NA,NA,7.60668648354359,5,0.433030427552415,0.208333333333333
"ISME","ISME1","T",16.0594835182542,15,13.9812460964778,12,NA,NA,2.07823742177647,3,0.148644649227656,0.25
"ISME","ISME10","C",35.495195685501,21,34.993455009094,19,0.501740676406959,2,NA,NA,NA,NA
"ISME","ISME11","C",39.8633689579882,33,38.4176930202573,31,NA,NA,1.44567593773091,2,0.0376304724223971,0.0645161290322581
"ISME","ISME12","C",20.4074471719127,35,18.6614288069491,30,0.620076091662368,2,1.12594227330124,3,0.0603352661229222,0.1
"ISME","ISME13","C",23.2363388359086,25,23.2363388359086,25,NA,NA,NA,NA,NA,NA
"ISME","ISME2","T",12.7478084574712,18,5.77862634119189,11,0.0868525518476211,2,6.88232956443166,5,1.19099750668636,0.454545454545455
"ISME","ISME3","T",24.6761813099402,10,18.9326172367419,8,NA,NA,5.74356407319827,2,0.303368731400322,0.25
"ISME","ISME4","T",14.6025644803826,19,10.5191772472827,16,NA,NA,4.08338723309986,3,0.388185039296174,0.1875
"ISME","ISME5","T",16.7868407696266,16,8.77165330424141,13,NA,NA,8.01518746538521,3,0.913760175805122,0.230769230769231
"ISME","ISME6","T",25.8119808816168,32,25.8119808816168,32,NA,NA,NA,NA,NA,NA
"ISME","ISME7","T",12.2769042255506,15,10.1780515182692,13,NA,NA,2.09885270728142,2,0.206213606161658,0.153846153846154
"ISME","ISME8","T",37.2507676179896,28,33.7303930329585,23,NA,NA,3.52037458503108,5,0.104368027422368,0.217391304347826
"ISME","ISME9","C",25.8453467190412,25,24.8199418758354,23,NA,NA,1.02540484320586,2,0.0413137487724816,0.0869565217391304
"LUAL","LUAL1","T",19.6698472172706,35,15.9824087029617,29,0.873263157245551,2,2.81417535706338,4,0.176079551547314,0.137931034482759
"LUAL","LUAL10","T",10.6911750714349,9,10.3733213805458,7,NA,NA,0.317853690889069,2,0.0306414579505051,0.285714285714286
"LUAL","LUAL11","T",42.6864543698022,41,29.717365004501,30,0.878988106392396,4,12.0901012589088,7,0.406836247328042,0.233333333333333
"LUAL","LUAL12","T",32.5645074360651,51,22.812567604651,41,0.659241079794297,3,9.09269875161978,7,0.398582873668546,0.170731707317073
"LUAL","LUAL13","T",22.9812284096708,36,22.8355324629924,35,NA,NA,0.145695946678408,1,0.00638022988579421,0.0285714285714286
"LUAL","LUAL2","C",16.6314625615466,27,6.20113424281349,18,2.21084523362103,6,8.21948308511211,3,1.32548059165752,0.166666666666667
"LUAL","LUAL3","C",6.52480454147973,15,3.82941521009673,10,1.917833218891,3,0.777556112491998,2,0.203048264508344,0.2
"LUAL","LUAL4","T",4.8531359829341,16,0.772159380414109,13,0.0341,1,4.04687660251999,2,5.2409861295082,0.153846153846154
"LUAL","LUAL5","C",3.19880984445269,16,2.50782344525991,13,0.253847026598099,2,0.43713937259468,1,0.174310266307194,0.0769230769230769
"LUAL","LUAL6","T",18.0748569066477,23,10.2711585385472,14,2.28170702988314,5,5.52199133821738,4,0.537621079208698,0.285714285714286
"LUAL","LUAL7","T",34.8823685353849,39,13.0777710124485,27,5.91290554130514,2,15.8916919816313,10,1.2151682397944,0.37037037037037
"LUAL","LUAL8","C",8.02509202221771,9,8.02509202221771,9,NA,NA,NA,NA,NA,NA
"LUAL","LUAL9","C",10.9788566207137,28,10.368279831052,27,NA,NA,0.610576789661687,1,0.0588889188574049,0.037037037037037
"SAAP","SAAP1","T",47.6742041171291,37,23.8779855754772,31,NA,NA,23.7962185416519,6,0.996575630990023,0.193548387096774
"SAAP","SAAP10","T",33.6402441156471,73,28.7496428907105,69,NA,NA,4.8906012249366,4,0.170109981662306,0.0579710144927536
"SAAP","SAAP11","T",49.8118738621084,46,49.4584004993668,45,NA,NA,0.353473362741615,1,0.0071468822115697,0.0222222222222222
"SAAP","SAAP12","C",10.4566038345282,21,9.94390141292523,20,NA,NA,0.512702421602929,1,0.0515594835781971,0.05
"SAAP","SAAP15","T",40.9058952658257,38,17.6739473068275,25,0.10141161134269,1,23.1305363476556,12,1.30873629677057,0.48
"SAAP","SAAP2","C",16.9438652877483,38,14.617779135258,35,NA,NA,2.32608615249033,3,0.159127192370818,0.0857142857142857
"SAAP","SAAP3","T",64.3143305807237,52,29.9842122211435,34,1.3411322612949,3,32.9889860982852,15,1.10021186666438,0.441176470588235
"SAAP","SAAP4","C",20.2129359360913,37,15.7437155238912,34,NA,NA,4.4692204122001,3,0.283873295691733,0.0882352941176471
"SAAP","SAAP5","T",7.73792666783051,19,5.76020342844762,10,1.97772323938289,9,NA,NA,NA,NA
"SAAP","SAAP6","C",14.4242764293367,31,12.6408402821876,27,0.219747026598099,1,1.56368912055095,3,0.123701358900513,0.111111111111111
"SAAP","SAAP7","T",36.8096697625107,33,26.848854677421,27,NA,NA,9.96081508508965,6,0.370995902982274,0.222222222222222
"SAAP","SAAP8","C",3.03656557819662,6,3.03656557819662,6,NA,NA,NA,NA,NA,NA
"SAAP","SAAP9","T",23.6032895073197,22,22.2840802710502,21,NA,NA,1.31920923626954,1,0.0591996268288155,0.0476190476190476
"SAME","SAME1","T",12.9298011480074,12,10.5511009103097,10,NA,NA,2.37870023769775,2,0.225445691204932,0.2
"SAME","SAME10","T",10.4188458242445,24,1.7442992631501,15,0.659241079794297,3,8.01530548130009,6,4.5951435345016,0.4
"SAME","SAME11","C",7.38196920950324,13,5.27705219197804,8,0.659241079794297,3,1.44567593773091,2,0.273955209298208,0.25
"SAME","SAME12","T",12.5263223880804,27,7.93005442961251,17,1.03101412171576,7,3.56525383675211,3,0.44958756190105,0.176470588235294
"SAME","SAME14","T",22.2161895563593,19,10.8698852720034,14,NA,NA,11.3463042843559,5,1.04382925858284,0.357142857142857
"SAME","SAME2","C",4.30488536862673,10,3.68480927696436,8,0.620076091662368,2,NA,NA,NA,NA
"SAME","SAME3","T",12.028565930133,17,4.94460414171807,12,0.219747026598099,1,6.86421476181688,4,1.38822331678746,0.333333333333333
"SAME","SAME4","T",23.7282527483364,42,8.40689413731115,25,5.96984700975323,11,9.35151160127204,6,1.11236224086236,0.24
"SAME","SAME5","T",9.59679324145713,24,7.20203998085995,21,0.219747026598099,1,2.17500623399908,2,0.301998633689808,0.0952380952380952
"SAME","SAME6","C",14.3979319650322,16,13.6430042230421,14,0.754927741990142,2,NA,NA,NA,NA
"SAME","SAME7","T",5.62868876769037,14,4.0851384619007,12,NA,NA,1.54355030578967,2,0.37784528485027,0.166666666666667
"SAME","SAME8","C",3.39164096763521,12,3.39164096763521,12,NA,NA,NA,NA,NA,NA
"SAME","SAME9","C",5.64428323891837,9,5.64428323891837,9,NA,NA,NA,NA,NA,NA
