"species","Sample","treat","plant_total_mg","plant_total_abun","herb_mg","herb_abun","omni_mg","omni_abun","pred_mg","pred_abun","iph_mg","iph_abun"
"ARCA","ARCA1","C",15.264625893239,17,3.2710554084779,12,3.77039252946035,3,8.22317795530078,2,2.51392193907447,0.166666666666667
"ARCA","ARCA10","C",10.6080981955253,42,7.97699881512387,37,0.10670319602532,2,2.52439618437616,3,0.316459390665831,0.0810810810810811
"ARCA","ARCA11","T",24.3655751221259,36,14.1262391631463,33,NA,NA,10.2393359589796,3,0.724845150979241,0.0909090909090909
"ARCA","ARCA14","C",26.4582522648963,43,8.24412818657919,29,5.22234407085637,1,12.9917800074608,13,1.57588282392435,0.448275862068966
"ARCA","ARCA2","T",27.1918868338727,19,27.1918868338727,19,NA,NA,NA,NA,NA,NA
"ARCA","ARCA3","T",16.0093372882061,43,13.3080138844387,39,0.422570249283479,3,2.27875315448393,1,0.171231648409122,0.0256410256410256
"ARCA","ARCA4","T",23.5631790294773,20,12.7841699201084,16,0.653516130647452,1,10.1254929787215,3,0.792033666792473,0.1875
"ARCA","ARCA5","C",15.9818098198942,25,6.99297005592606,17,0.400329065064269,1,8.58851069890389,7,1.22816351710611,0.411764705882353
"ARCA","ARCA6","T",16.3792992050362,28,11.8457998965911,26,NA,NA,4.53349930844508,2,0.382709428491164,0.0769230769230769
"ARCA","ARCA7","T",27.3100748710394,20,11.214222329973,14,NA,NA,16.0958525410664,6,1.43530706521181,0.428571428571429
"ARCA","ARCA8","C",15.4219663353367,26,8.32051940591107,21,NA,NA,7.10144692942564,5,0.853486012469441,0.238095238095238
"ARCA","ARCA9","T",13.8360308812785,21,12.2906061369464,17,NA,NA,1.54542474433204,4,0.125740319648385,0.235294117647059
"ARDO","ARDO1","T",46.6914697942155,52,36.9495368496632,47,NA,NA,9.7419329445523,5,0.263655075953708,0.106382978723404
"ARDO","ARDO10","C",21.4008620258664,26,16.4755303948603,20,0.439494053196198,2,4.48583757780997,4,0.272272726297745,0.2
"ARDO","ARDO11","C",17.2607289041983,25,13.9831413085949,21,NA,NA,3.27758759560338,4,0.234395657118102,0.19047619047619
