"species","combo","DD_mean","DD_sd","DD_se","DD_n","ID_T_mean","ID_T_sd","ID_T_se","ID_T_n","ID_C_mean","ID_C_sd","ID_C_se","ID_C_n","lrr","lrr_var","sei","zi","ci.lb","ci.ub"
"ARCA","A",0.0242862411334723,0.0142378653257727,0.00822023537852051,3,0.0141642035463122,0.00263506017709714,0.00131753008854857,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.0814235023953439,0.0546393268499762,0.233750565453811,-0.348334996483392,-0.539566192050685,0.376719187259997
"ARCA","B",0.0231984498262999,0.0148132786608275,0.00855245042240967,3,0.0149800470266915,0.00396860638768485,0.00198430319384243,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.13742471495154,0.0635333913470865,0.252058309418846,-0.545210016160113,-0.63144992341653,0.356600493513451
"ARCA","C",0.0219036284435614,0.0157666200322394,0.00910286231982398,3,0.0159511630637454,0.00382925468195431,0.00191462734097716,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.200237343498341,0.0603942632575672,0.245752443034789,-0.814792890868616,-0.681903280959258,0.281428593962577
"ARCA","D",0.0212112972230789,0.0163799128144309,0.00945694707271427,3,0.0164704114791073,0.0029871459972611,0.00149357299863055,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.232271124998714,0.0542101830755898,0.232830803536795,-0.997596200633336,-0.688611114422353,0.224068864424926
"ARCA","E",0.0227150617463128,0.0151373730421524,0.00873956640071046,3,0.0153425880866818,0.00410061644244096,0.00205030822122048,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.161338094184797,0.0638452620193947,0.252676199946482,-0.638517178186822,-0.656574345830344,0.33389815746075
"ARCA","F",0.0165803069058719,0.00389131980820032,0.00224665453876738,3,0.0199436542170125,0.013567431259899,0.00678371562994949,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.423616605944931,0.161684908740996,0.402100620169873,-1.05350895943898,-1.2117193396391,0.364486127749241
"ARCA","G",0.0152854855231334,0.0043113238692089,0.00248914399645142,3,0.0209147702540664,0.0130435645549786,0.00652178227748932,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.471161217658109,0.143222769065724,0.378447841935614,-1.24498323269146,-1.21290535787882,0.270582922562602
"ARCA","H",0.0145931543026509,0.00495549282879833,0.00286105511867397,3,0.0214340186694282,0.0125507571740289,0.00627537858701446,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.495684914878647,0.131705046531702,0.362911899132148,-1.36585467730324,-1.20697916673869,0.215609336981395
"ARCA","I",0.0160969188258848,0.00390535703687767,0.00225475893652292,3,0.0203061952770028,0.0134291366975189,0.00671456834875946,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.441631623116095,0.155326926268456,0.39411537177387,-1.12056431883984,-1.21408355754649,0.330820311314304
"ARCA","J",0.014197694215961,0.00243538457352561,0.00140606993910527,3,0.0217306137344457,0.012816179432927,0.00640808971646348,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.509427635085222,0.132945652138006,0.364617130889384,-1.39715770853282,-1.22406407977474,0.205208809604297
"ARCA","K",0.0135053629954785,0.00310502142376717,0.00179268495485153,3,0.0222498621498076,0.0122683216771299,0.00613416083856496,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.533041410647684,0.121994286930229,0.349276805600127,-1.52612885282151,-1.21761137025913,0.151528548963762
"ARCA","L",0.0150091275187124,0.00228984898639532,0.00132204492869893,3,0.0211220387573821,0.0132584160644233,0.00662920803221167,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.481022583821051,0.144490415022902,0.380118948518621,-1.26545278970087,-1.22604203275878,0.26399686511668
"ARCA","M",0.01221054161274,0.00106854682624314,0.000616925797773196,3,0.0232209781868614,0.011427985272676,0.00571399263633798,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.575761699861811,0.106537506699641,0.326400837467738,-1.76397127019847,-1.21549558582229,0.0639721860986672
"ARCA","N",0.0137143061359739,0.00160790610303507,0.000928325021418941,3,0.022093154794436,0.0126013248051644,0.00630066240258221,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.525973420305614,0.127318080135668,0.356816591732598,-1.47407220541971,-1.22532108918784,0.173374248576611
"ARCA","O",0.0130219749154914,0.00230031043103134,0.00132808484657565,3,0.0226124032097979,0.0120228387401949,0.00601141937009746,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.54920416789631,0.11666107608999,0.341556841667665,-1.60794368871313,-1.21864327623818,0.120234940445563
"ARCA","P",0.025781950630545,0.0125118660456748,0.00722372922953489,3,0.0130424214235077,0.00187864072088518,0.000939320360442588,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,0.00108717118443315,0.0511738608138256,0.226216402618876,0.00480589016467029,-0.442288830660777,0.444463173029643
"ARCA","Q",0.0244871292478064,0.0139905464780177,0.0080774457751935,3,0.0140135374605616,0.00273137398438076,0.00136568699219038,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.0707294214467552,0.0554843683423956,0.235551201105823,-0.30027196259118,-0.532401292129319,0.390942449235808
"ARCA","R",0.023794798027324,0.0148598971098618,0.00857936559650884,3,0.0145327858759235,0.0020983829559012,0.0010491914779506,4,0.0130566084787361,0.00626083936122688,0.00279993248158193,5,-0.107112789458441,0.0511990115565932,0.226271985797167,-0.473380693067582,-0.550597732331246,0.336372153414365
