"species","iter","p","sum","n","observed"
"SAAP","J1",0.847,847,1000,-0.00762593620738617
"SAAP","I1",0.178,178,1000,0.00762593620738617
"SAAP","H1",0.522,522,1000,-0.000632704814929178
"SAAP","G1",0.103,103,1000,0.00957592941586317
"SAAP","F1",0.236,236,1000,0.00562741483036418
"SAAP","E1",0.459,459,1000,0.00139975756614047
"SAAP","D1",0.052,52,1000,0.0116083917969328
"SAAP","C1",0.163,163,1000,0.00765987721143382
"SAAP","B1",0.359,359,1000,0.00334975077461747
"SAAP","A1",0.538,538,1000,-0.000598763810881524
"SAAP","Z",0.102,102,1000,0.00960987041991082
"SAAP","Y",0.9,900,1000,-0.00853753846951538
"SAAP","X",0.464,464,1000,0.00167109576127698
"SAAP","W",0.639,639,1000,-0.00227741882422203
"SAAP","V",0.796,796,1000,-0.00658754526103837
"SAAP","U",0.933,933,1000,-0.0105360598465374
"SAAP","T",0.509,509,1000,-0.000327425615745024
"SAAP","S",0.715,715,1000,-0.00455508287996872
"SAAP","R",0.877,877,1000,-0.00850359746546772
"SAAP","Q",0.41,410,1000,0.00170503676532462
"SAAP","P",0.812,812,1000,-0.00655360425699072
"SAAP","O",0.311,311,1000,0.00362337748715878
"SAAP","N",0.028,28,1000,0.0138320117179511
"SAAP","M",0.086,86,1000,0.00988349713245212
"SAAP","L",0.263,263,1000,0.00557337069563577
"SAAP","K",0.482,482,1000,0.00162485611013678
"SAAP","J",0.036,36,1000,0.0118334903409291
"SAAP","I",0.19,190,1000,0.00760583307670543
"SAAP","H",0.327,327,1000,0.00365731849120642
"SAAP","G",0.016,16,1000,0.0138659527219988
"SAAP","F",0.243,243,1000,0.00560731169968343
"SAAP","E",0.628,628,1000,-0.00233146295895043
"SAAP","D",0.779,779,1000,-0.00627997754444942
"SAAP","C",0.337,337,1000,0.00392865668634293
"SAAP","B",0.701,701,1000,-0.00432998433597243
"SAAP","A",0.624,624,1000,-0.00229752195490278
"LUAL","R2",0.133,133,1000,0.0194475539954399
"LUAL","Q2",0.096,96,1000,0.0220394925083543
"LUAL","P2",0.42,420,1000,0.00476800316077184
"LUAL","O2",0.116,116,1000,0.0205249412748191
"LUAL","N2",0.132,132,1000,0.018997194748235
"LUAL","M2",0.345,345,1000,0.00725424103007805
"LUAL","L2",0.758,758,1000,-0.0100172483175045
"LUAL","K2",0.365,365,1000,0.0057396897965428
"LUAL","J2",0.446,446,1000,0.00421194326995875
"LUAL","I2",0.706,706,1000,-0.00742530980459
"LUAL","H2",0.319,319,1000,0.00833162830945725
"LUAL","G2",0.35,350,1000,0.0068038817828732
"LUAL","F2",0.718,718,1000,-0.00893986103812525
"LUAL","E2",0.774,774,1000,-0.0104676075647093
"LUAL","D2",0.378,378,1000,0.00528933054933795
"LUAL","C2",0.023,23,1000,0.0272564483911593
"LUAL","B2",0.267,267,1000,0.0099849590435768
"LUAL","A2",0.055,55,1000,0.025741897157624
"LUAL","Z1",0.074,74,1000,0.02421415063104
"LUAL","Y1",0.178,178,1000,0.0125768975564913
"LUAL","X1",0.016,16,1000,0.0283338356705385
"LUAL","W1",0.045,45,1000,0.0268060891439545
"LUAL","V1",0.217,217,1000,0.011062346322956
"LUAL","U1",0.276,276,1000,0.00953459979637195
"LUAL","T1",0.062,62,1000,0.0252915379104192
"LUAL","S1",0.523,523,1000,-0.00220835392178505
"LUAL","R1",0.161,161,1000,0.0135485841922622
"LUAL","Q1",0.197,197,1000,0.0120208376656782
"LUAL","P1",0.552,552,1000,-0.0037229051553203
"LUAL","O1",0.626,626,1000,-0.00525065168190435
"LUAL","N1",0.232,232,1000,0.0105062864321429
"LUAL","M1",0.502,502,1000,-0.00113096664240585
"LUAL","L1",0.538,538,1000,-0.00265871316898991
"LUAL","K1",0.171,171,1000,0.0130982249450574
"LUAL","J1",0.558,558,1000,-0.00417326440252516
"LUAL","I1",0.443,443,1000,0.00417326440252516
"LUAL","H1",0.85,850,1000,-0.0130982249450574
"LUAL","G1",0.453,453,1000,0.00265871316898991
"LUAL","F1",0.499,499,1000,0.00113096664240585
"LUAL","E1",0.774,774,1000,-0.0105062864321429
"LUAL","D1",0.396,396,1000,0.00525065168190435
"LUAL","C1",0.465,465,1000,0.0037229051553203
"LUAL","B1",0.822,822,1000,-0.0120208376656782
"LUAL","A1",0.839,839,1000,-0.0135485841922622
"LUAL","Z",0.49,490,1000,0.00220835392178505
"LUAL","Y",0.95,950,1000,-0.0252915379104192
"LUAL","X",0.73,730,1000,-0.00953459979637195
"LUAL","W",0.768,768,1000,-0.011062346322956
"LUAL","V",0.965,965,1000,-0.0268060891439545
"LUAL","U",1,1000,1000,-0.0283338356705385
"LUAL","T",0.829,829,1000,-0.0125768975564913
"LUAL","S",0.922,922,1000,-0.02421415063104
"LUAL","R",0.963,963,1000,-0.025741897157624
"LUAL","Q",0.735,735,1000,-0.0099849590435768
"LUAL","P",0.988,988,1000,-0.0272564483911593
"LUAL","O",0.633,633,1000,-0.00528933054933795
"LUAL","N",0.238,238,1000,0.0104676075647093
"LUAL","M",0.281,281,1000,0.00893986103812525
"LUAL","L",0.664,664,1000,-0.0068038817828732
"LUAL","K",0.702,702,1000,-0.00833162830945725
"LUAL","J",0.349,349,1000,0.00742530980459
"LUAL","I",0.582,582,1000,-0.00421194326995875
"LUAL","H",0.636,636,1000,-0.0057396897965428
"LUAL","G",0.257,257,1000,0.0100172483175045
"LUAL","F",0.673,673,1000,-0.00725424103007805
"LUAL","E",0.863,863,1000,-0.018997194748235
"LUAL","D",0.9,900,1000,-0.0205249412748191
"LUAL","C",0.608,608,1000,-0.00476800316077184
"LUAL","B",0.903,903,1000,-0.0220394925083543
"LUAL","A",0.884,884,1000,-0.0194475539954399
"ISME","R2",0.857,857,1000,-0.0143597441151116
"ISME","Q2",0.825,825,1000,-0.0142656384898363
"ISME","P2",0.363,363,1000,0.00280829761795863
"ISME","O2",0.897,897,1000,-0.0149145361964248
"ISME","N2",0.279,279,1000,0.00545931754065022
"ISME","M2",0.953,953,1000,-0.0201530322539666
"ISME","L2",0.687,687,1000,-0.00307909614617163
"ISME","K2",0.985,985,1000,-0.020801929960555
"ISME","J2",0.55,550,1000,-0.000428076223480033
"ISME","I2",0.666,666,1000,-0.00298499052089632
"ISME","H2",0.97,970,1000,-0.0207078243352797
"ISME","G2",0.521,521,1000,-0.000333970598204725
"ISME","F2",0.69,690,1000,-0.00363388822748475
"ISME","E2",0.138,138,1000,0.0167399655095902
"ISME","D2",0.585,585,1000,-0.000982868304793154
"ISME","C2",0.794,794,1000,-0.0131208110112232
"ISME","B2",0.318,318,1000,0.00395312509657175
"ISME","A2",0.824,824,1000,-0.0137697087178116
"ISME","Z1",0.234,234,1000,0.00660414501926335
"ISME","Y1",0.271,271,1000,0.00404723072184706
"ISME","X1",0.793,793,1000,-0.0136756030925363
"ISME","W1",0.224,224,1000,0.00669825064453866
"ISME","V1",0.305,305,1000,0.00339833301525863
"ISME","U1",0.015,15,1000,0.0237721867523336
"ISME","T1",0.259,259,1000,0.00604935293795023
"ISME","S1",0.586,586,1000,-0.0018401630422832
"ISME","R1",0.95,950,1000,-0.0195629968566666
"ISME","Q1",0.454,454,1000,0.000810856880408401
"ISME","P1",0.627,627,1000,-0.00248906074887163
"ISME","O1",0.097,97,1000,0.0178847929882033
"ISME","N1",0.499,499,1000,0.000161959173819972
"ISME","M1",0.619,619,1000,-0.00239495512359632
"ISME","L1",0.102,102,1000,0.0179788986134787
"ISME","K1",0.489,489,1000,0.000256064799095283
"ISME","J1",0.099,99,1000,0.0173300009068902
"ISME","I1",0.913,913,1000,-0.0173300009068902
"ISME","H1",0.531,531,1000,-0.000256064799095283
"ISME","G1",0.938,938,1000,-0.0179788986134787
"ISME","F1",0.384,384,1000,0.00239495512359632
"ISME","E1",0.517,517,1000,-0.000161959173819972
"ISME","D1",0.91,910,1000,-0.0178847929882033
"ISME","C1",0.393,393,1000,0.00248906074887163
"ISME","B1",0.563,563,1000,-0.000810856880408401
"ISME","A1",0.076,76,1000,0.0195629968566666
"ISME","Z",0.403,403,1000,0.0018401630422832
"ISME","Y",0.769,769,1000,-0.00604935293795023
"ISME","X",1,1000,1000,-0.0237721867523336
"ISME","W",0.697,697,1000,-0.00339833301525863
"ISME","V",0.793,793,1000,-0.00669825064453866
"ISME","U",0.183,183,1000,0.0136756030925363
"ISME","T",0.735,735,1000,-0.00404723072184706
