"species","yi_mean","DD_mean_mean","ID_C_mean_mean","ID_T_mean_mean","yi_se","DD_mean_se","ID_C_mean_se","ID_T_mean_se","yi_n","DD_mean_n","ID_C_mean_n","ID_T_mean_n","2.5 %","97.5 %","ci.ub","ci.lb","dd.lb","dd.ub","dd.ci.ub","dd.ci.lb"
"ARCA",-0.289117198263545,0.0189723989550238,0.0130566084787361,0.0178753139218569,0.0399641954461729,0.000543635433286614,0,0.000724847244382152,32,32,32,32,NA,NA,-0.19848134,-0.37975306,0.0171131695605001,0.0208316283495478,0.020831628,0.0171131696
"ARDO",-0.314868876046797,0.0516964311873361,0.0324115861230918,0.0479931461574612,0.0732210496268297,0.00232263318126144,0,0.00309684424168193,33,33,33,33,-0.152955384907062,0.101452029340572,-0.0970293106594281,-0.532708444907062,0.0301146801346552,0.0353333843299685,0.0561650123299685,0.0472278497346552
"ENCA",-0.379060706223396,0.02439119419491,0.0153394301411685,0.0229219037959549,0.0392496844972864,0.000626920619837373,0,0.000835894159783163,32,32,32,32,-0.218121970389183,0.0382349544694964,-0.160246385530504,-0.597875030389183,0.00278944781458771,0.00804814266518422,0.0288797706651842,0.0199026174145877
"ERFA",0.12439940122534,0.0125312742631675,0.0128942751852644,0.0116440599483064,0.027334246507057,0.000297877318973773,0,0.000297877318973773,64,64,64,64,0.302510794807057,0.52452240417074,0.32604106417074,-0.0772422651929429,-0.00871820635754013,-0.00416404302617297,0.016667584973827,0.00839496324245987
"ERPA",-0.0940043958132547,0.0130040583334468,0.00981952258631522,0.0120472183333169,0.0841214377228008,0.000732020237404353,0,0.000976026983205804,33,33,33,33,0.0679090953264787,0.322316509574115,0.123835169574115,-0.311843964673521,-0.00857769271923375,-0.00335898852392041,0.0174726394760796,0.00853547688076625
"ISME",0.467939933785785,0.0220102662617123,0.0304121917476425,0.0197846668322854,0.0363536276916662,0.000650088839085677,0,0.000650088839085677,63,63,63,63,0.645758048640581,0.868356215458092,0.669874875458092,0.266004988640581,0.000754769562711365,0.00532096505066539,0.0261525930506654,0.0178679391627114
"LUAL",-0.893834986047951,0.0363735566044719,0.0134544805996267,0.0335214383280737,0.0253248888542377,0.000799337819771282,0,0.000799337819771282,63,63,63,63,-0.716016871193155,-0.493418704375644,-0.691900044375644,-1.09576993119315,0.015118059905471,0.019684255393425,0.040515883393425,0.032231229505471
"SAAP",-0.727243531550064,0.0248658619010756,0.0113747878467149,0.0237477462205006,0.0169056252738328,0.00039168147721489,0,0.00039168147721489,64,64,64,64,-0.549132137968355,-0.327120528604676,-0.525601868604676,-0.928885197968355,0.00361638128036819,0.00817054461173527,0.0290021726117353,0.0207295508803682
"SAME",-0.144022956393936,0.018754026970711,0.0150930408103907,0.0176679136531275,0.021110711631464,0.000353224172917457,0,0.000353224172917457,64,64,64,64,0.0340884371877734,0.256100046551452,0.0576187065514523,-0.345664622812227,-0.0024954536499964,0.00205870968137067,0.0228903376813707,0.0146177159500036
