"species","variable","C_mean","C_se","C_sd","C_n","T_mean","T_se","T_sd","T_n","yi","vi","sei","zi","ci.lb","ci.ub"
"ARCA","omni_mg_dens",0.00296725669185117,0.00179789020127275,0.00402020470612665,5,0.000207064250462617,0.000135480918319552,0.00035844881726819,7,2.66236399835774,0.795227580333508,0.891755336588185,2.98553189324756,0.914555655623506,4.41017234109198
"ARCA","herb_mg_dens",0.0100893517868849,0.00177111453665678,0.0039603324999026,5,0.0182951554046325,0.00378906466581056,0.0100249228072768,7,-0.595155703633944,0.0737088598574975,0.271493756571855,-2.19215245001933,-1.12727368854226,-0.0630377187256238
"ARCA","pred_mg_dens",0.0120722828154149,0.00337327396678406,0.00754286989645952,5,0.00685981696892831,0.00222176220636243,0.00587823027035716,7,0.565231388110443,0.182975932345549,0.427756861248945,1.32138473819007,-0.273156654077386,1.40361943029827
"ARCA","plant_total_mg_dens",0.025128891294151,0.00602487305015957,0.0134720256959633,5,0.0253620366240234,0.0029725430073898,0.00786460955899746,7,-0.00923520309662251,0.071221164584259,0.266872937152232,-0.0346052439605538,-0.532296548363418,0.513826142170173
"ARCA","iph_mg_omni",0.892000919616274,0.156787323520861,0.350587113402897,5,0.512582634436454,0.18922932211291,0.500653727072095,7,0.554005227599511,0.16718054328707,0.408877173839615,1.35494290962015,-0.247379307226656,1.35538976242568
"ARCA","iph_abun_omni",0.254114774114774,0.0694712291192255,0.155342390791051,5,0.147425403727925,0.0562281551330635,0.148765715162046,7,0.544463721137405,0.220206000005137,0.469261121344116,1.1602574693976,-0.375271176041942,1.46419861831675
"ARCA","iph_mg",1.29758273664804,0.368888597169705,0.824859979395998,5,0.518838182790314,0.190242338328169,0.503333916051747,7,0.916666331190619,0.215267085405594,0.463968840985679,1.97570666435963,0.00730411290989741,1.82602854947134
"ARCA","iph_abun",0.269176710758861,0.0704493347519835,0.157529501475073,5,0.149262677098812,0.056289366866409,0.148927666185797,7,0.589660393894161,0.210714742263146,0.459036754806351,1.28456030529171,-0.310035113106431,1.48935590089475
"ARCA","herb_omni_mg_dens",0.0130566084787361,0.00279993248158194,0.00626083936122689,5,0.0185022196550951,0.00378563227689867,0.0100158415598131,7,-0.348596303812479,0.0878498114042118,0.296394688556006,-1.17612196598661,-0.929519218591217,0.232326610966259
"ARDO","omni_mg_dens",0.00172805011584583,0.00144849144563263,0.00323892533726151,5,0.00118116423988668,0.000824351601319064,0.00218102932996811,7,0.380493076150812,1.1897024802206,1.09073483497164,0.348841041792441,-1.75730791707684,2.51829406937846
