species,sample,treat,stem_count,diameter_total,stem_density,plant_g
SAAP,SAAP6,C,9,3.12,2.884615385,1146.96
SAAP,SAAP7,T,11,3.33,3.303303303,860.22
SAAP,SAAP8,C,5,2.73,1.831501832,573.48
SAAP,SAAP9,T,6,3.66,1.639344262,955.8
SAME,SAME1,T,5,2.4,2.083333333,376.5
SAME,SAME10,T,4,3.93,1.017811705,502
SAME,SAME11,C,17,4.92,3.455284553,753
SAME,SAME12,T,7,2.55,2.745098039,502
SAME,SAME14,T,14,2.01,6.965174129,376.5
SAME,SAME2,C,6,3.57,1.680672269,627.5
SAME,SAME3,T,14,2.82,4.964539007,502
SAME,SAME4,T,7,4.83,1.449275362,627.5
SAME,SAME5,T,35,3.63,9.641873278,313.75
SAME,SAME6,C,18,2.82,6.382978723,439.25
SAME,SAME7,T,8,4.65,1.720430108,439.25
SAME,SAME8,C,6,2.22,2.702702703,NA
SAME,SAME9,C,9,3.51,2.564102564,439.25
