Appendix S4. List of the species of PhytoPhylo (a megaphylogeny of plants in the world),,
Acacia courtii,Tindale & Hersc.,ild-49419
Acacia cultriformis,G.Don,ild-385
Acacia curranii,Maiden,ild-49197
Acacia cuspidifolia,Maslin,ild-47843
Acacia cyperophylla,Benth.,ild-49199
Acacia dallachiana,F.Muell.,ild-49410
Acacia dangarensis,Tindale & Kodela,ild-47461
Acacia davyi,N.E.Br.,ild-388
Acacia dawsonii,R.T.Baker,ild-48489
Acacia dealbata,Link,ild-389
Acacia deanei,(R.T.Baker) M.B.Welch & al.,ild-47444
Acacia debilis,Tindale,ild-47402
Acacia decurrens,Willd.,ild-390
Acacia delphina,Maslin,ild-48168
Acacia dempsteri,F.Muell.,ild-47839
Acacia denticulosa,F.Muell.,ild-49366
Acacia dictyoneura,E.Pritz.,ild-48525
Acacia dimidiata,Benth.,ild-48857
Acacia doratoxylon,A.Cunn.,ild-39325
Acacia drepanolobium,Sjostedt,ild-392
Acacia drummondii,Lindl.,ild-49581
Acacia elata,Benth.,ild-404
Acacia elongata,DC.,ild-48577
Acacia enterocarpa,R.V.Sm.,ild-48624
Acacia eriocarpa,Brenan,ild-409
Acacia erioloba,E.Mey.,ild-410
Acacia eriopoda,Maiden & Blakeley,ild-48961
Acacia erubescens,Oliv.,ild-413
Acacia exuvialis,Verd.,ild-422
Acacia falciformis,DC.,ild-31510
Acacia farnesiana,(L.) Willd.,ild-423
Acacia fasciculifera,Benth.,ild-31509
Acacia filicifolia,Cheel & M.B.Welch,ild-32172
Acacia fimbriata,G.Don,ild-424
Acacia flagelliformis,Court,ild-47943
Acacia floribunda,(Vent.) Willd.,ild-39331
Acacia frigescens,J.H.Willis,ild-48811
Acacia fulva,Tindale,ild-47434
Acacia furcatispina,Burkart,ild-10243
Acacia galpinii,Burtt Davy,ild-428
Acacia gaumeri,S.F.Blake,ild-10244
Acacia gelasina,Maslin,ild-47825
Acacia genistifolia,Link,ild-48064
Acacia gentlei,Standl.,ild-10245
Acacia gerrardii,Benth.,ild-430
Acacia glaucocaesia,Domin,ild-47836
Acacia glaucocarpa,Maiden & Blakeley,ild-47414
Acacia glaucoptera,Benth.,ild-48379
Acacia glomerosa,Benth.,ild-10247
Acacia grandicornuta,Gerstner,ild-443
Acacia greggii,A.Gray,ild-10249
