Species,birds,con_sd,con_n,con_se,no birds,dd_sd,dd_n,dd_se,excl_dens,excl_sd,excl_n,excl_se,IDLRR
arca,22.83186,13.686807,5,6.120926169,30.48180924,13.30162169,3,7.679694863,25.35262673,10.10977554,5,4.521229069,-0.04548167
ardo,46.8138,21.850012,5,9.771622428,57.8916959,31.84882015,3,18.38792489,56.92164614,24.64222449,4,12.32111225,-0.084903556
enca,35.13115,20.394533,5,9.120712431,37.89601334,13.1275641,3,7.579202668,43.04781151,13.63151253,4,6.815756265,-0.088258711
erfa,57.01982,34.992515,5,15.64912845,59.00922318,20.87743105,3,12.05359044,46.49069558,21.01026408,5,9.396075742,0.088659798
erpa,29.86539,14.4364,5,6.45615435,29.90499829,4.947957847,3,2.856704795,18.02011668,9.835285861,5,4.398473553,0.219410592
isme,23.44782,8.686031,5,3.884511154,16.06049943,2.707793494,3,1.563345303,21.99074074,15.59887326,5,6.976028196,0.027862613
lual,38.76181,20.09364,5,8.986148991,62.86156389,21.19632757,3,12.23770543,57.47217387,19.10138509,5,8.542399105,-0.171053576
saap,25.24292,12.160478,5,5.438331089,26.03985027,14.78516016,3,8.536216201,37.2695357,10.68456027,5,4.778280615,-0.169214391
same,24.80744,14.0538,5,6.285050428,29.45792587,24.73858943,3,14.28283127,43.88161639,24.44406639,5,10.93171882,-0.247700667
