SP,DENS_T,SE_T,DENS_C,SE_C,HPQ,HPQ_LOG,HPQ_SE,LRR_BIRD,SE_BIRD,COMP,SE_COMP,,,SE_X,hpq_old,DENS_T_C,d_c_g
ARCA,26.44232,4.013251712,22.83186,6.120926169,0.001,-3,0.14888889,-0.063758264,,9.0833,2.872402208,9.083333333,2.872402208,2.20954016,0.001,26.44231734,22.83185841
ARDO,58.54568,13.07625347,46.8138,9.771622428,4.352,0.638688887,1.094219356,-0.097120959,,4.2727,1.351155,4.272727273,1.351155,1.03935,2.66555,58.54567871,46.81379574
ENCA,40.73821,4.866170982,35.13115,9.120712431,0.338888889,-0.46994267,0.137391933,-0.064309576,,8.75,2.766992953,8.75,2.766992953,2.128456117,0.10222,40.73821434,35.13115114
ERFA,57.01982,7.234957486,51.18514,8.64912845,0.682857143,-0.165670143,0.271777971,-0.046881947,,20.8461,6.592132661,20.84615385,6.592132661,5.070871278,0.51889,57.18514343,51.19824946
ERPA,22.47695,3.537404203,23.44782,6.45615435,0.653333333,-0.184865183,0.12,0.018365092,,27,8.538149682,27,8.538149682,6.567807448,0.001,22.47694729,29.86538599
ISME,17.105,3.338167278,24.5251,3.884511154,0.551111111,-0.258760833,0.122877034,0.156487708,,16.3076,5.156945107,16.30769231,5.156945107,3.966880852,0.26333,17.76690025,28.44781655
LUAL,59.4932,6.563534849,38.76181,8.986148991,0.547777778,-0.26139559,0.337100874,-0.186063281,,6.6923,2.116293511,6.692307692,2.116293511,1.627918085,0.47667,59.49319513,38.76181317
SAAP,33.0584,4.492631219,25.24292,5.438331089,0.70125,-0.154127126,0.540289274,-0.117142239,,10.5833,3.346743857,10.58333333,3.346743857,2.574418352,0.035556,58.05840366,25.24291552
SAME,38.47273,8.455901087,24.80744,6.285050428,0.001,-3,0.14888889,-0.190571055,,5.5833,1.765605027,5.583333333,1.765605027,1.358157713,0.86111,38.47273245,24.80743692
