,Values,
Row Labels,Average of complexity,StdDev of complexity
ARCA,9.083333333,2.234373344
ARDO,4.272727273,2.195035721
ENCA,8.75,3.137022329
ERFA,20.84615385,6.568182826
ERPA,27,19.93322185
ISME,16.30769231,4.81983083
LUAL,6.692307692,2.926448797
SAAP,10.58333333,3.342789617
SAME,5.583333333,1.505042031
(blank),,
Grand Total,12.3963964,10.42835233
