sp,lrr c/t,denssc,densst
ERPA,0.018365092,23.44782,22.47695
ARCA,-0.063758264,22.83186,26.44232
SAAP,-0.117142239,25.24292,33.0584
ENCA,-0.064309576,35.13115,40.73821
ISME,0.156487708,24.5251,17.105
LUAL,-0.186063281,38.76181,59.4932
ERFA,-0.046881947,51.18514,57.01982
SAME,-0.190571055,24.80744,38.47273
ARDO,-0.097120959,46.8138,58.54568
