SP,DENS_T,SE_T,DENS_C,SE_C,HPQ,HPQ_SE,LRR_BIRD,SE_BIRD,COMP,SE_COMP
ARCA,,,,,0.001,0.14888889,,,,
ARDO,,,,,4.352,1.094219356,,,,
ENCA,,,,,0.338888889,0.137391933,,,,
ERFA,,,,,0.682857143,0.271777971,,,,
ERPA,,,,,0.653333333,0.12,,,,
ISME,,,,,0.551111111,0.122877034,,,,
LUAL,,,,,0.547777778,0.337100874,,,,
SAAP,,,,,0.70125,0.540289274,,,,
SAME,,,,,0.001,0.14888889,,,,
