"Sample","sp","Order","value","feed","ID","size"
"ERPA8","ERPA","HEMI",10,"herb","5","S"
"ISME1","ISME","HEMI",3,"herb","5","S"
"ISME12","ISME","HEMI",2,"herb","5","L"
"ISME12","ISME","HEMI",2,"herb","5","S"
"ISME13","ISME","HEMI",1,"herb","5","S"
"ISME4","ISME","HEMI",2,"herb","5","S"
"ISME5","ISME","HEMI",1,"herb","5","S"
"ISME6","ISME","HEMI",7,"herb","5","L"
"ISME7","ISME","HEMI",1,"herb","5","L"
"ISME8","ISME","HEMI",3,"herb","5","L"
"ISME8","ISME","HEMI",2,"herb","5","S"
"LUAL10","LUAL","HEMI",2,"herb","5","S"
"LUAL11","LUAL","HEMI",4,"herb","5","L"
"LUAL11","LUAL","HEMI",3,"herb","5","S"
"LUAL12","LUAL","HEMI",8,"herb","5","L"
"LUAL12","LUAL","HEMI",25,"herb","5","S"
"LUAL13","LUAL","HEMI",1,"herb","5","L"
"LUAL13","LUAL","HEMI",30,"herb","5","S"
"LUAL14","LUAL","HEMI",1,"herb","5","S"
"LUAL2","LUAL","HEMI",1,"herb","5","L"
"LUAL2","LUAL","HEMI",9,"herb","5","S"
"LUAL3","LUAL","HEMI",5,"herb","5","S"
"LUAL4","LUAL","HEMI",2,"herb","5","L"
"LUAL6.2","LUAL","HEMI",2,"herb","5","L"
"SAAP1","SAAP","HEMI",3,"herb","5","L"
"SAAP10","SAAP","HEMI",17,"herb","5","L"
"SAAP10","SAAP","HEMI",39,"herb","5","S"
"SAAP11","SAAP","HEMI",11,"herb","5","L"
"SAAP11","SAAP","HEMI",22,"herb","5","S"
"SAAP12","SAAP","HEMI",10,"herb","5","L"
"SAAP12","SAAP","HEMI",6,"herb","5","S"
"SAAP15","SAAP","HEMI",3,"herb","5","L"
"SAAP15","SAAP","HEMI",7,"herb","5","S"
"SAAP2","SAAP","HEMI",6,"herb","5","L"
"SAAP2","SAAP","HEMI",22,"herb","5","S"
"SAAP4","SAAP","HEMI",8,"herb","5","L"
"SAAP4","SAAP","HEMI",23,"herb","5","S"
"SAAP5","SAAP","HEMI",1,"herb","5","L"
"SAAP5","SAAP","HEMI",4,"herb","5","S"
"SAAP6","SAAP","HEMI",12,"herb","5","L"
"SAAP6","SAAP","HEMI",11,"herb","5","S"
"SAAP7","SAAP","HEMI",11,"herb","5","L"
"SAAP7","SAAP","HEMI",8,"herb","5","S"
"SAAP8","SAAP","HEMI",3,"herb","5","L"
"SAAP8","SAAP","HEMI",2,"herb","5","S"
"SAAP9","SAAP","HEMI",8,"herb","5","L"
"SAAP9","SAAP","HEMI",9,"herb","5","S"
"SAME10","SAME","HEMI",1,"herb","5","S"
"SAME11","SAME","HEMI",1,"herb","5","L"
"SAME11","SAME","HEMI",3,"herb","5","S"
"SAME12","SAME","HEMI",6,"herb","5","S"
"SAME3","SAME","HEMI",4,"herb","5","L"
"SAME3","SAME","HEMI",1,"herb","5","S"
"SAME4","SAME","HEMI",2,"herb","5","S"
"SAME5","SAME","HEMI",1,"herb","5","L"
"SAME5","SAME","HEMI",9,"herb","5","S"
"SAME5.2","SAME","HEMI",1,"herb","5","L"
"SAME5.2","SAME","HEMI",7,"herb","5","S"
"SAME7","SAME","HEMI",1,"herb","5","L"
"SAME7","SAME","HEMI",3,"herb","5","S"
"SAAP1","SAAP","HETE",8,"herb","5","S"
"SAAP3","SAAP","HETE",7,"herb","5","L"
"SAAP3","SAAP","HETE",6,"herb","5","S"
"ARDO1","ARDO","HYME",1,"pred","6","L"
"ARDO1","ARDO","HYME",1,"pred","6","S"
"ARDO10","ARDO","HYME",3,"pred","6","S"
"ARDO11","ARDO","HYME",1,"pred","6","S"
"ARDO3","ARDO","HYME",1,"pred","6","S"
"ENCA5","ENCA","HYME",3,"pred","6","S"
"ENCA7","ENCA","HYME",2,"pred","6","S"
"ERFA10","ERFA","HYME",3,"pred","6","S"
"ERFA9","ERFA","HYME",1,"pred","6","L"
"ERPA7","ERPA","HYME",1,"pred","6","L"
"ERPA8","ERPA","HYME",1,"pred","6","L"
"SAAP1","SAAP","HYME",2,"pred","6","L"
"SAAP9","SAAP","HYME",1,"pred","6","L"
"SAME5","SAME","HYME",1,"pred","6","S"
"SAAP4","SAAP","HYME",3,"pred","6","S"
"ENCA1","ENCA","COLE",1,"pred","7","S"
"ENCA3","ENCA","COLE",1,"pred","7","L"
"ENCA3","ENCA","COLE",2,"pred","7","S"
"ENCA7","ENCA","COLE",1,"pred","7","S"
"ENCA9","ENCA","COLE",6,"pred","7","S"
"ERPA3","ERPA","COLE",1,"pred","7","L"
"ERPA4","ERPA","COLE",2,"pred","7","S"
"LUAL11","LUAL","COLE",2,"pred","7","S"
"LUAL12","LUAL","COLE",1,"pred","7","S"
"SAAP1","SAAP","COLE",1,"pred","7","L"
"SAAP4","SAAP","COLE",1,"pred","7","S"
"SAAP6","SAAP","COLE",1,"pred","7","S"
"SAME7","SAME","COLE",1,"pred","7","S"
"ARCA11","ARCA","COLE",3,"herb","8","L"
"ARCA11.2","ARCA","COLE",13,"herb","8","L"
"ARCA14","ARCA","COLE",4,"herb","8","L"
"ARCA2","ARCA","COLE",8,"herb","8","L"
"ARCA4","ARCA","COLE",4,"herb","8","L"
"ARCA6","ARCA","COLE",6,"herb","8","L"
"ARCA9","ARCA","COLE",4,"herb","8","L"
"ARDO13","ARDO","COLE",1,"herb","8","S"
"ERFA5","ERFA","COLE",1,"herb","8","L"
"ERPA3","ERPA","COLE",7,"herb","8","L"
"ERPA4","ERPA","COLE",1,"herb","8","L"
"ISME1","ISME","COLE",3,"herb","8","L"
"ISME10","ISME","COLE",18,"herb","8","L"
"ISME11","ISME","COLE",24,"herb","8","L"
"ISME12","ISME","COLE",20,"herb","8","L"
"ISME13","ISME","COLE",15,"herb","8","L"
"ISME3","ISME","COLE",6,"herb","8","L"
"ISME4","ISME","COLE",14,"herb","8","L"
"ISME5","ISME","COLE",5,"herb","8","L"
"ISME7","ISME","COLE",3,"herb","8","L"
"ISME8","ISME","COLE",17,"herb","8","L"
"ISME9","ISME","COLE",15,"herb","8","L"
"LUAL11","LUAL","COLE",12,"herb","8","L"
"LUAL11","LUAL","COLE",8,"herb","8","S"
"LUAL12","LUAL","COLE",5,"herb","8","L"
"LUAL14","LUAL","COLE",26,"herb","8","S"
"SAAP1","SAAP","COLE",11,"herb","8","L"
"SAAP10","SAAP","COLE",10,"herb","8","L"
"SAAP11","SAAP","COLE",15,"herb","8","L"
"SAAP15","SAAP","COLE",12,"herb","8","L"
"SAAP9","SAAP","COLE",4,"herb","8","L"
"SAME7","SAME","COLE",1,"herb","8","L"
"ISME3","ISME","ARAN",1,"pred","3","L"
"ISME5","ISME","ARAN",1,"pred","3","L"
"ARCA14","ARCA","HEMI",1,"pred","11","L"
"ARCA5","ARCA","HEMI",1,"pred","11","S"
"ARCAC2","ARCA","HEMI",1,"pred","11","L"
"ARCAC2","ARCA","HEMI",1,"pred","11","S"
"ARDO10","ARDO","HEMI",2,"pred","11","S"
"ARDO13","ARDO","HEMI",1,"pred","11","L"
"ARDO13","ARDO","HEMI",4,"pred","11","S"
"ARDO7","ARDO","HEMI",2,"pred","11","S"
"ARDO8","ARDO","HEMI",1,"pred","11","S"
"ENCA3","ENCA","HEMI",1,"pred","11","S"
"ENCA8","ENCA","HEMI",7,"pred","11","S"
"ENCAX","ENCA","HEMI",1,"pred","11","S"
"ERFA10","ERFA","HEMI",1,"pred","11","L"
"ERFA12","ERFA","HEMI",2,"pred","11","L"
"ERFA3","ERFA","HEMI",4,"pred","11","S"
"ERFA4","ERFA","HEMI",1,"pred","11","L"
