"Sample","sp","Order","value","feed","ID","size"
"SAAP10","SAAP","COLE",1,"herb","8","S"
"SAAP11","SAAP","COLE",2,"herb","8","S"
"SAAP15","SAAP","COLE",1,"herb","8","S"
"SAAP2","SAAP","COLE",1,"herb","8","L"
"SAAP3","SAAP","COLE",10,"herb","8","L"
"SAAP3","SAAP","COLE",2,"herb","8","S"
"SAAP6","SAAP","COLE",1,"herb","8","L"
"SAAP7","SAAP","COLE",6,"herb","8","L"
"SAAP7","SAAP","COLE",1,"herb","8","S"
"SAAP8","SAAP","COLE",1,"herb","8","L"
"SAME11","SAME","COLE",2,"herb","8","L"
"SAME12","SAME","COLE",1,"herb","8","S"
"SAME3","SAME","COLE",1,"herb","8","S"
"SAME4","SAME","COLE",1,"herb","8","L"
"SAME5","SAME","COLE",3,"herb","8","S"
"SAME5.2","SAME","COLE",1,"herb","8","L"
"SAME5.2","SAME","COLE",1,"herb","8","S"
"ARCAC2","ARCA","DERM",1,"omni","9","L"
"ARCA4","ARCA","DIPT",1,"herb","10","S"
"ARCAC2","ARCA","DIPT",4,"herb","10","L"
"ARCAC2","ARCA","DIPT",1,"herb","10","L"
"ARDO1","ARDO","DIPT",4,"herb","10","S"
"ARDO11","ARDO","DIPT",1,"herb","10","S"
"ARDO3","ARDO","DIPT",6,"herb","10","S"
"ARDO7","ARDO","DIPT",1,"herb","10","S"
"ENCA1","ENCA","DIPT",1,"herb","10","S"
"ENCA4","ENCA","DIPT",4,"herb","10","S"
"ERFA12","ERFA","DIPT",1,"herb","10","S"
"ERFA7","ERFA","DIPT",2,"herb","10","S"
"ERPA3","ERPA","DIPT",1,"herb","10","S"
"ERPA8","ERPA","DIPT",1,"herb","10","S"
"LUAL10","LUAL","DIPT",1,"herb","10","S"
"LUAL3","LUAL","DIPT",1,"herb","10","S"
"SAAP1","SAAP","DIPT",1,"herb","10","S"
"SAAP10","SAAP","DIPT",2,"herb","10","S"
"SAAP3","SAAP","DIPT",4,"herb","10","S"
"SAME10","SAME","DIPT",1,"herb","10","S"
"SAME12","SAME","DIPT",1,"herb","10","S"
"SAME3","SAME","DIPT",1,"herb","10","S"
"ARCA14","ARCA","HYME",13,"pred","12","L"
"ARCA5","ARCA","HYME",9,"pred","12","L"
"ARCA5","ARCA","HYME",1,"pred","12","S"
"ARCAC2","ARCA","HYME",1,"pred","12","S"
"ARDO7","ARDO","HYME",1,"pred","12","L"
"ARDO8","ARDO","HYME",NA,"pred","12",""
"ENCAX","ENCA","HYME",1,"pred","12","S"
"ERFA12","ERFA","HYME",2,"pred","12","L"
"ERFA4","ERFA","HYME",5,"pred","12","L"
"ERFA4","ERFA","HYME",1,"pred","12","S"
"ERPA1","ERPA","HYME",1,"pred","12","S"
"ERPA10","ERPA","HYME",7,"pred","12","S"
"ERPA10","ERPA","HYME",1,"pred","12","S"
"ISME11","ISME","HYME",1,"pred","12","S"
"LUAL14","LUAL","HYME",1,"pred","12","S"
"LUAL4","LUAL","HYME",2,"pred","12","L"
"SAAP1","SAAP","HYME",1,"pred","12","L"
"ERFA6","ERFA","ISOP",1,"herb","13","L"
"ARDO13","ARDO","LEPI",1,"herb","14","S"
"ERFA6","ERFA","LEPI",1,"herb","14","L"
"SAAP4","SAAP","LEPI",2,"herb","14","L"
"ARCA4","ARCA","MIRID",1,"omni","15","L"
"ISME12","ISME","MIRID",1,"omni","15","S"
"ARCA6","ARCA","NEUR",1,"pred","16","S"
"ERFA11","ERFA","NEUR",1,"pred","16","S"
"ERFA5","ERFA","NEUR",1,"pred","16","L"
"ISME7","ISME","NEUR",1,"pred","16","S"
"SAAP6","SAAP","NEUR",1,"pred","16","S"
"ARCA6","ARCA","ORTH",1,"herb","17","L"
"ARDO10","ARDO","ORTH",1,"herb","17","L"
"ERFA11","ERFA","ORTH",1,"herb","17","L"
"ERPA1","ERPA","ORTH",1,"herb","17","L"
"ERPA12","ERPA","ORTH",1,"herb","17","S"
"ERPA4","ERPA","ORTH",2,"herb","17","L"
"ISME12","ISME","ORTH",1,"herb","17","L"
"LUAL12","LUAL","ORTH",1,"herb","17","L"
"LUAL13","LUAL","ORTH",2,"herb","17","L"
"LUAL6.2","LUAL","ORTH",1,"herb","17","L"
"SAAP1","SAAP","ORTH",1,"herb","17","L"
"SAAP3","SAAP","ORTH",1,"herb","17","L"
"SAAP5","SAAP","ORTH",1,"herb","17","L"
"SAAP6","SAAP","ORTH",1,"herb","17","L"
"SAAP7","SAAP","ORTH",1,"herb","17","L"
"SAME12","SAME","ORTH",1,"herb","17","L"
"ARDO1","ARDO","PSCO",1,"herb","PSOC","S"
"SAAP1","SAAP","PSCO",1,"herb","PSOC","S"
"ENCA10","ENCA","PSOC",1,"herb","19","S"
"ENCA9","ENCA","PSOC",1,"herb","19","S"
"SAME5","SAME","PSOC",2,"herb","19","L"
"ARCA11","ARCA","STER",4,"herb","20","S"
"ARCA9","ARCA","STER",2,"herb","20","S"
"ARCAC2","ARCA","STER",1,"herb","20","S"
"ISME11","ISME","STER",1,"herb","20","S"
"ISME3","ISME","STER",2,"herb","20","S"
"SAAP1","SAAP","STER",5,"herb","20","S"
"ARDO7","ARDO","THYS",1,"herb","21","L"
"ENCA4","ENCA","THYS",1,"herb","21","S"
"ERFA10","ERFA","THYS",6,"herb","21","S"
"ERFA11","ERFA","THYS",1,"herb","21","S"
"ERFA13","ERFA","THYS",8,"herb","21","S"
"ERFA4","ERFA","THYS",1,"herb","21","S"
"ERFA6","ERFA","THYS",3,"herb","21","S"
"ERPA1","ERPA","THYS",1,"herb","21","S"
"ERPA11","ERPA","THYS",1,"herb","21","S"
"ERPA11","ERPA","THYS",1,"herb","21","S"
"ERPA7","ERPA","THYS",2,"herb","21","S"
"ERPA8","ERPA","THYS",2,"herb","21","S"
