sp,control_mean,control_sd,control_se,control_n,DD_mean,DD_sd,DD_se,DD_n,ID_mean,ID_sd,ID_se,ID_n,ID,ID_var,sei,zi,ci.lb,ci.ub
ARCA,23.0013703,13.43783567,6.009582806,5,20.23134814,8.308876864,4.154438432,4,16.56733162,1.351435744,0.780251791,3,0.128320503,0.110429572,0.332309453,0.386147616,-0.522994056,0.779635062
ARDO,30.27870643,11.30242264,5.054597067,5,44.82927584,23.11855159,11.55927579,4,39.66966514,18.51440973,10.68929944,3,-0.392416697,0.094354691,0.307172088,-1.277514178,-0.994462926,0.209629532
ENCA,16.56216068,15.75923037,6.433678856,6,14.79978724,10.14870782,5.074353912,4,51.2626063,28.84552827,16.65397351,3,0.112507811,0.268456007,0.518127404,0.217143139,-0.903003241,1.128018863
ERFA,17.45835871,9.224618143,4.125374647,5,22.08508249,9.797107809,4.898553905,4,18.51093703,7.174934472,3.587467236,4,-0.235083837,0.105033628,0.32408892,-0.725368325,-0.870286447,0.400118774
ERPA,9.512228896,11.78184443,5.269001007,5,4.704550856,3.465079192,1.732539596,4,14.98198379,17.20152752,8.600763758,4,0.704047916,0.442447829,0.665167519,1.058452037,-0.599656466,2.007752297
ISME,27.13207901,6.722842021,3.006546352,5,16.25555161,6.761846005,3.380923002,4,10.40722193,5.523161538,2.761580769,4,0.512282267,0.055537258,0.235663443,2.17378759,0.050390407,0.974174127
LUAL,12.720141,9.502556847,4.249672614,5,21.39727701,11.08908096,5.544540481,4,29.71383377,26.36320399,13.18160199,4,-0.520077029,0.17876123,0.422801644,-1.230073336,-1.348753024,0.308598966
SAAP,7.800480208,4.118494735,1.681368435,6,25.83373234,12.83144855,6.415724276,4,16.32505712,7.965053645,3.982526822,4,-1.197495796,0.108136541,0.328841209,-3.641562445,-1.842012722,-0.55297887
SAME,12.575254,7.689724499,3.438949342,5,15.67708824,5.719127184,2.859563592,4,20.81205401,23.64621558,11.82310779,4,-0.220469384,0.108056826,0.328719982,-0.670690547,-0.864748709,0.423809941
