"Sample","sp","plant","treat","flower","diameter","height","complexity","sample_g","vaccum","total_abun","plant_g","plant_kg","plant_vol","arth_mg","vac_min","kg_min","mean_kg_min","kg_vac","abun_kg","mg_kg","group"
"SAME12","SAME",12,"T","N",0.85,0.74,7,10.121,"3:25",21,502,0.502,0.419913128,4.267024186,3.41666666666667,0.146926829268293,0.138480438825143,0.473141499319237,44.3841853445853,8.75160002723478,"ID"
"SAME14","SAME",14,"T","N",0.67,1.32,14,NA,"3:01",19,376.5,0.3765,0.465386111,9.878123796,3.01666666666667,0.124806629834254,0.138480438825143,0.41774932378918,45.4818210779162,24.8741132038331,"ID"
"ARCA1","ARCA",1,"C","N",0.87,1.01,11,7.827,"2:44",17,791,0.791,0.600412549,6.79289793,2.73333333333333,0.289390243902439,0.256181852113033,0.700230395775625,24.2777235929177,9.11046066287678,"control"
"ARCA5","ARCA",5,"C","N",0.78,0.92,10,8.675,"3:36",18,791,0.791,0.439609343,29.14115757,3.6,0.219722222222222,0.256181852113033,0.92225466760692,19.5173856335221,34.0184773705645,"control"
"ARCA8","ARCA",8,"C","N",0.73,1.06,11,6.868,"3:45",27,791,0.791,0.443651002,15.92527677,3.75,0.210933333333333,0.256181852113033,0.960681945423875,28.1050353122718,18.1828405682932,"control"
"ARCA10","ARCA",10,"C","N",0.9,1.2,7,4.444,"3:30",42,1130,1.13,0.763407015,11.88558698,3.5,0.322857142857143,0.256181852113033,0.896636482395617,46.841725520453,11.7293723696817,"control"
"ARCA14","ARCA",14,"C","N",0.6,0.73,6,8,"3:40",34,791,0.791,0.206402637,32.8418098,3.66666666666667,0.215727272727273,0.256181852113033,0.939333457747789,36.1958788112592,37.9600933599782,"control"
"ARDO8","ARDO",8,"C","N",0.75,0.79,3,3.522,"2:30",26,628.02,0.62802,0.349011309,18.42885243,2.5,0.251208,0.201351418716065,0.503378546790163,51.6509894308989,32.5771187921067,"control"
"ARDO9","ARDO",9,"C","Y",0.81,0.77,4,NA,"2:39",29,628.02,0.62802,0.396780796,9.091143121,2.65,0.236988679245283,0.201351418716065,0.533581259597573,54.3497348873755,15.6527776565076,"control"
"ARDO10","ARDO",10,"C","N",0.72,0.83,3,1.098,"2:01",26,418.68,0.41868,0.337934839,17.00682316,2.01666666666667,0.207609917355372,0.201351418716065,0.406058694410732,64.0301521870648,41.2417248645069,"control"
"ARDO11","ARDO",11,"C","N",0.55,0.74,6,3.533,"2:21",25,348.9,0.3489,0.175811379,9.028701781,2.35,0.148468085106383,0.201351418716065,0.473175833982754,52.834481823751,21.9656177879799,"control"
"ARDO13","ARDO",13,"C","N",0.54,0.73,5,2.379,"2:34",21,279.12,0.27912,0.167186136,18.3447966,2.56666666666667,0.108748051948052,0.201351418716065,0.516801974704568,40.6345196571757,46.0969722737188,"control"
"ENCA2","ENCA",2,"C","N",1.64,1.12,8,6.545,"3:28",7,703.68,0.70368,2.365895728,8.994150163,3.46666666666667,0.202984615384615,0.16685036443997,0.578414596725228,12.1020459020769,14.0304002309552,"control"
"ENCA4","ENCA",4,"C","Y",1.2,0.94,12,11.47,"3:38",40,615.72,0.61572,1.063114954,23.21993559,3.63333333333333,0.169464220183486,0.16685036443997,0.606222990798556,65.9823210388465,38.0049409258045,"control"
"ENCA5","ENCA",5,"C","N",0.81,1,15,4.747,"2:58",25,439.8,0.4398,0.515299735,16.40071059,2.96666666666667,0.148247191011236,0.16685036443997,0.494989414505243,50.5061305704653,35.0896369503294,"control"
"ENCA6","ENCA",6,"C","N",1.19,1.21,8,17.766,"3:57",17,527.76,0.52776,1.34576483,5.608605387,3.95,0.133610126582278,0.16685036443997,0.65905893953788,25.7943546170849,9.45149289441549,"control"
"ENCA10","ENCA",10,"C","Y",1.35,0.85,12,22.222,"3:42",6,703.68,0.70368,1.21667993,1.622592542,3.7,0.190183783783784,0.16685036443997,0.617346348427888,9.71901755842468,2.45656348025306,"control"
"ENCA11","ENCA",11,"C","N",1.19,1.54,6,11.491,"3:56",17,527.76,0.52776,1.712791602,0.8196,3.93333333333333,0.134176271186441,0.16685036443997,0.656278100130547,25.9036527298692,1.38441491014459,"control"
"ERFA1","ERFA",1,"C","Y",1.43,0.9,14,23.456,"3:26",30,564.59,0.56459,1.445454634,10.40552614,3.43333333333333,0.164443689320388,0.187846157959359,0.644938475660466,46.5160649149947,17.2059217279991,"control"
"ERFA6","ERFA",6,"C","Y",1.3,0.71,18,27.674,"4:09",36,390.87,0.39087,0.942399256,24.37470412,4.15,0.0941855421686747,0.187846157959359,0.77956155553134,46.1798042047659,41.6507979553484,"control"
"ERFA7","ERFA",7,"C","Y",1.56,0.87,35,10.366,"4:25",30,825.17,0.82517,1.662870124,11.0827478,4.41666666666667,0.186830943396226,0.187846157959359,0.829653864320503,36.1596580093921,13.394474226477,"control"
"ERFA9","ERFA",9,"C","Y",1.6,0.79,24,25.013,"4:32",30,825.17,0.82517,1.588389246,17.1960983,4.53333333333333,0.182022794117647,0.187846157959359,0.851569249415761,35.2290785753269,20.5113565582624,"control"
"ERFA13","ERFA",13,"C","Y",1.09,0.77,14,5.252,"2:26",20,477.73,0.47773,0.7185113,2.897397316,2.43333333333333,0.196327397260274,0.187846157959359,0.457092317701107,43.754837317301,6.19881930744917,"control"
"ERPA2","ERPA",2,"C","Y",1.22,1.03,18,NA,"3:33",6,610.02,0.61002,1.204056225,0.2841,3.55,0.17183661971831,0.249828130350752,0.886889862745171,6.76521432033097,0.379581973598586,"control"
"ERPA4","ERPA",4,"C","N",1.3,0.8,30,23.779,"3:29",19,847.25,0.84725,1.061858317,13.74132853,3.48333333333333,0.24322966507177,0.249828130350752,0.870234654055121,21.833191670159,16.001690026814,"control"
"ERPA6","ERPA",6,"C","N",1,0.96,22,NA,"1:20",12,305.01,0.30501,0.753982237,0.6024,1.33333333333333,0.2287575,0.249828130350752,0.333104173801003,36.0247662557624,1.88806337402516,"control"
"ERPA8","ERPA",8,"C","Y",1.63,0.99,90,9.854,"3:04",29,982.81,0.98281,2.065857137,14.74111897,3.06666666666667,0.32048152173913,0.249828130350752,0.766139599742308,37.8521094716344,16.8571112308462,"control"
"ERPA10","ERPA",10,"C","N",1.21,1.01,25,12.456,"3:17",18,847.25,0.84725,1.161400466,1.7273,3.28333333333333,0.258045685279188,0.249828130350752,0.820269027984971,21.9440200542715,2.07170049757965,"control"
"ISME9","ISME",9,"C","N",0.6,0.83,25,12.921,"3:05",25,1071.84,1.07184,0.234676971,19.23588912,3.08333333333333,0.347623783783784,0.317122166653728,0.977793347182329,25.5677746959944,18.7700782156418,"control"
"ISME10","ISME",10,"C","N",0.48,0.93,19,4.765,"2:30",20,974.4,0.9744,0.168288835,24.08655532,2.5,0.38976,0.317122166653728,0.792805416634321,25.2268710333811,27.2594856186819,"control"
"ISME11","ISME",11,"C","N",0.54,1.04,10,6.096,"3:20",33,974.4,0.9744,0.238182989,38.22857338,3.33333333333333,0.29232,0.317122166653728,1.05707388884576,31.2182529038091,37.6362931267806,"control"
"ISME12","ISME",12,"C","N",0.99,1.18,24,13.111,"2:34",35,1364.16,1.36416,0.908327113,17.46061277,2.56666666666667,0.531490909090909,0.317122166653728,0.813946894411236,43.0003483523542,16.0328336637672,"control"
"ISME13","ISME",13,"C","Y",0.59,1.19,11,7.2,"2:55",25,1266.72,1.26672,0.32534255,25.88897901,2.91666666666667,0.434304,0.317122166653728,0.924939652740041,27.0287903929083,23.6249994178004,"control"
"LUAL2","LUAL",2,"C","N",0.83,0.72,12,1.458,"2:23",27,505.52,0.50552,0.389563772,12.45963693,2.38333333333333,0.212106293706294,0.195798281157502,0.466652570092047,57.8588905975043,25.6325621876377,"control"
"LUAL3","LUAL",3,"C","N",0.64,0.59,5,3.564,"2:41",15,379.14,0.37914,0.189802462,3.714316231,2.68333333333333,0.141294409937888,0.195798281157502,0.525392054439298,28.5501081968362,8.21268016488909,"control"
"LUAL5","LUAL",5,"C","N",0.58,0.6,5,9.867,"2:35",18,315.95,0.31595,0.158524765,1.085108676,2.58333333333333,0.122303225806452,0.195798281157502,0.505812226323548,35.586328410508,2.64093101688217,"control"
