"Sample","sp","plant","treat","treatw","herb","omni","pred","herb_om","flower","diameter","height","complexity","sample_g","vaccum","total_abun","plant_g","plant_kg","plant_vol","arth_mg","vac_min","kg_min","mean_kg_min","kg_vac","abun_kg","mg_kg","herb_kg","ho_kg","pred_kg","po_kg"
"LUAL10","LUAL",10,"T","T",3.427647377,0,0.1574,3.427647377,"N",0.84,0.6,7,15.044,"3:03",9,505.52,0.50552,0.332506166,3.585047377,3.05,0.165744262295082,0.195798281157502,0.597184757530382,15.0707128514447,6.50227969457404,6.21679983439368,6.21679983439368,0.285479860180368,0.285479860180368
"LUAL11","LUAL",11,"T","T",29.18102639,0.1364,12.70016209,29.31742639,"N",0.98,0.53,5,13.517,"3:09",41,505.52,0.50552,0.39977709,42.01758848,3.15,0.16048253968254,0.195798281157502,0.616764585646133,66.4759309373247,74.8786698443501,52.0028997336707,52.245975334538,22.6326945098121,22.8757701106794
"LUAL12","LUAL",12,"T","T",9.422036876,0.1023,5.452304466,9.524336876,"N",0.81,0.7,11,5.041,"2:31",51,758.28,0.75828,0.360709815,14.97664134,2.51666666666667,0.301303311258278,0.195798281157502,0.492759007579714,103.498869052637,23.9427248059581,15.0627387618042,15.2262828229888,8.71644198616659,8.87998604735123
"LUAL13","LUAL",13,"T","T",9.264086474,0,0.053,9.264086474,"N",0.8,0.71,10,5.249,"2:18",36,631.9,0.6319,0.356884925,9.317086474,2.3,0.274739130434783,0.195798281157502,0.450336046662256,79.9403029511413,17.2182150146172,17.1202696538736,17.1202696538736,0.0979453607435426,0.0979453607435426
"LUAL2","LUAL",2,"C","C",3.826047377,1.450192542,7.183397008,5.276239919,"N",0.83,0.72,12,1.458,"2:23",27,505.52,0.50552,0.389563772,12.45963693,2.38333333333333,0.212106293706294,0.195798281157502,0.466652570092047,57.8588905975043,25.6325621876377,7.87112801719502,10.8545336112506,14.7780285702154,17.761434164271
"LUAL3","LUAL",3,"C","C",2.021223688,0,1.693092542,2.021223688,"N",0.64,0.59,5,3.564,"2:41",15,379.14,0.37914,0.189802462,3.714316231,2.68333333333333,0.141294409937888,0.195798281157502,0.525392054439298,28.5501081968362,8.21268016488909,4.46910350623874,4.46910350623874,3.74357665643926,3.74357665643926
"LUAL4","LUAL",4,"T","T",0.1096,0,4.591606309,0.1096,"N",0.84,0.56,7,10.151,"2:42",5,505.52,0.50552,0.310339089,4.701206309,2.7,0.18722962962963,0.195798281157502,0.528655359125257,9.45795765368441,9.09170048873811,0.211956316755997,0.211956316755997,8.87974417198211,8.87974417198211
"LUAL5","LUAL",5,"C","C",0.935508676,0.0341,0.1155,0.969608676,"N",0.58,0.6,5,9.867,"2:35",18,315.95,0.31595,0.158524765,1.085108676,2.58333333333333,0.122303225806452,0.195798281157502,0.505812226323548,35.586328410508,2.64093101688217,2.27683543008624,2.35982780648825,0.281103210393915,0.364095586795928
"LUAL6","LUAL",6,"T","T",1.137271031,4.282377627,6.858297008,5.419648659,"N",0.6,0.64,3,13.333,"2:12",15,379.14,0.37914,0.180955737,12.27794567,2.2,0.172336363636364,0.195798281157502,0.430756218546505,34.8224804522017,30.3197999665558,2.80843645137898,13.3835633131526,16.9362366459949,27.511363505299
"LUAL7","LUAL",7,"T","T",3.370603456,0,10.99324271,3.370603456,"N",0.8,0.68,4,NA,"3:02",39,631.9,0.6319,0.341805281,14.36384616,3.03333333333333,0.208318681318681,0.195798281157502,0.593921452844424,65.6652488527232,23.4354621982994,5.49933833867693,5.49933833867693,17.9361238694119,17.9361238694119
"LUAL8","LUAL",8,"C","C",6.018144411,0,0,6.018144411,"N",0.85,0.78,9,13.862,"2:52",9,568.71,0.56871,0.442611135,6.018144411,2.86666666666667,0.198387209302326,0.195798281157502,0.56128840598484,16.0345375105487,10.6515980538131,10.6515980538131,10.6515980538131,0,0
"LUAL9","LUAL",9,"C","C",6.672142735,0,1.797623688,6.672142735,"N",0.91,0.77,5,13.353,"2:33",28,821.47,0.82147,0.500798929,8.469766423,2.55,0.322145098039216,0.195798281157502,0.499285616951631,56.0801253818464,12.8256375582163,10.1035235426818,10.1035235426818,2.72211401553454,2.72211401553454
"SAAP1","SAAP",1,"T","T",19.4854316,0,13.62858762,19.4854316,"Y",0.98,1.24,12,NA,"2:47",37,1433.7,1.4337,0.935327531,33.11401922,2.78333333333333,0.515101796407186,0.377672155124894,1.05118749843095,35.1982877034094,26.6523287198389,15.683149931177,15.683149931177,10.9691787886619,10.9691787886619
"SAAP10","SAAP",10,"T","T",12.54526696,0,4.884706309,12.54526696,"N",1.21,0.67,13,NA,"2:45",73,1529.28,1.52928,0.770433972,17.42997327,2.75,0.556101818181818,0.377672155124894,1.03859842659346,70.2870311862841,13.5753882189217,9.77091970560501,9.77091970560501,3.80446851253783,3.80446851253783
"SAAP11","SAAP",11,"T","T",24.28759223,0,0.1636,24.28759223,"N",1.02,0.72,10,NA,"2:32",46,1146.96,1.14696,0.588332339,24.45119223,2.53333333333333,0.452747368421053,0.377672155124894,0.956769459649731,48.0784577058306,23.2455671691465,23.0900338620954,23.0900338620954,0.15553330705103,0.15553330705103
"SAAP12","SAAP",12,"C","C",6.954553088,0,2.517852233,6.954553088,"N",0.85,0.9,8,1.286,"2:20",21,860.22,0.86022,0.510705156,9.472405321,2.33333333333333,0.368665714285714,0.377672155124894,0.881235028624752,23.8301920802813,10.8787251640721,7.98706021537874,7.98706021537874,2.89166494869337,2.89166494869337
"SAAP14","SAAP",14,"C","T",NA,NA,NA,NA,"N",1.13,0,8,NA,"2:19",43,1146.96,1.14696,0,NA,2.31666666666667,0.495090647482014,0.377672155124894,0.874940492706004,49.1461994941052,NA,NA,NA,NA,NA
"SAAP15","SAAP",15,"T","T",20.00424206,0,6.476804466,20.00424206,"Y",1.07,0.65,7,16.134,"4:15",38,764.64,0.76464,0.584481532,26.24188873,4.25,0.179915294117647,0.377672155124894,1.6051066592808,23.6744391908677,22.1474212251568,16.8830216357989,16.8830216357989,5.46624209016981,5.46624209016981
"SAAP2","SAAP",2,"C","C",10.2763007,0,2.726652233,10.2763007,"N",0.82,0.9,14,NA,"2:51",38,764.64,0.76464,0.475291553,12.52463733,2.85,0.268294736842105,0.377672155124894,1.07636564210595,35.3039882670833,13.6062997782809,11.1637905555192,11.1637905555192,2.96213348904347,2.96213348904347
"SAAP3","SAAP",3,"T","T",18.70283219,0.1023,17.49917116,18.80513219,"Y",1.09,0.77,13,NA,"2:18",51,1146.96,1.14696,0.7185113,35.82598775,2.3,0.498678260869565,0.377672155124894,0.868645956787256,58.7120674441712,35.5486027706569,18.5580243271469,18.6595322629173,17.3636827189105,17.4651906546809
"SAAP4","SAAP",4,"C","C",13.49550618,0,2.083823688,13.49550618,"Y",1.01,1.42,17,NA,"4:31",37,1624.86,1.62486,1.137682226,15.57932986,4.51666666666667,0.359747601476015,0.377672155124894,1.70581923398077,21.6904577360494,9.35504668300337,8.10375616019343,8.10375616019343,1.25129052761376,1.25129052761376
"SAAP5","SAAP",5,"T","T",2.366553103,4.452877627,0,6.81943073,"N",1.04,0.78,9,NA,"2:39",19,716.85,0.71685,0.66259959,6.101957335,2.65,0.270509433962264,0.377672155124894,1.00083121108097,18.9842201058844,7.10487754728356,2.75552074242075,7.94027516399089,0,5.18475442157014
"SAAP6","SAAP",6,"C","C",4.079252518,0.0341,1.891023688,4.113352518,"N",1.11,0.54,11,7.58,"2:34",31,1146.96,1.14696,0.522552102,5.765218408,2.56666666666667,0.446867532467532,0.377672155124894,0.969358531487227,31.9799114497281,5.44834657186367,3.85504588019965,3.8872716529202,1.78708796418382,1.81931373690437
"SAAP7","SAAP",7,"T","T",11.62701316,0,5.358304466,11.62701316,"Y",0.91,0.78,8,NA,"2:40",33,860.22,0.86022,0.507302811,16.98531763,2.66666666666667,0.3225825,0.377672155124894,1.00712574699972,32.7665141103867,18.191936503768,12.4529837912248,12.4529837912248,5.73895270825903,5.73895270825903
"SAAP8","SAAP",8,"C","C",1.867023688,0,0,1.867023688,"N",0.83,0.92,6,7.555,"3:13",6,573.48,0.57348,0.497775931,1.867023688,3.21666666666667,0.178283937823834,0.377672155124894,1.21484543231841,4.93889991301166,2.08801334953847,2.08801334953847,2.08801334953847,0,0
"SAAP9","SAAP",9,"T","T",11.43615306,0,2.278753154,11.43615306,"N",0.87,0.8,7,3.5,"2:33",22,955.8,0.9558,0.475574296,13.71490622,2.55,0.374823529411765,0.377672155124894,0.963063995568479,22.8437571139951,14.2948184464078,11.9197119612554,11.9197119612554,2.37510647889863,2.37510647889863
"SAME1","SAME",1,"T","T",4.827395894,0,0.3272,4.827395894,"N",0.8,0.82,5,NA,"3:20",12,376.5,0.3765,0.412176956,5.154595894,3.33333333333333,0.11295,0.138480438825143,0.461601462750476,25.9964514161142,12.3006488428828,11.5198364602717,11.5198364602717,0.780812382611044,0.780812382611044
"SAME10","SAME",10,"T","T",0.086,0.1023,7.202459463,0.1883,"Y",1.31,0.9,4,7.119,"3:41",12,502,0.502,1.213039609,7.390759463,3.68333333333333,0.136289592760181,0.138480438825143,0.510069616339276,23.526200376574,14.6052392912118,0.16994878338719,0.372108789672185,14.2331305015396,14.4352905078246
"SAME11","SAME",11,"C","C",3.467647377,1.484292542,2.681452233,4.951939919,"Y",1.64,1.88,8,8.657,"4:03",13,753,0.753,3.971324973,7.633392152,4.05,0.185925925925926,0.138480438825143,0.560845777241828,23.179277668689,11.6199211265494,5.27862164200074,7.53808400464728,4.08183712190209,6.34129948454863
"SAME12","SAME",12,"T","T",1.447471031,0,2.819553154,1.447471031,"N",0.85,0.74,7,10.121,"3:25",21,502,0.502,0.419913128,4.267024186,3.41666666666667,0.146926829268293,0.138480438825143,0.473141499319237,44.3841853445853,8.75160002723478,2.96874049973364,2.96874049973364,5.78285952545016,5.78285952545016
"SAME14","SAME",14,"T","T",4.649918408,0,5.228205387,4.649918408,"N",0.67,1.32,14,NA,"3:01",19,376.5,0.3765,0.465386111,9.878123796,3.01666666666667,0.124806629834254,0.138480438825143,0.41774932378918,45.4818210779162,24.8741132038331,11.7089640966046,11.7089640966046,13.1651491047104,13.1651491047104
"SAME2","SAME",2,"C","C",0.914290902,0,0.0682,0.914290902,"N",1.19,1.14,6,13.579,"3:31",10,627.5,0.6275,1.267910667,0.982490902,3.51666666666667,0.178436018957346,0.138480438825143,0.486989543201752,20.5343218136763,1.7631226923448,1.64073482353794,1.64073482353794,0.122387868806866,0.122387868806866
"SAME3","SAME",3,"T","T",4.538458308,0.0341,2.831052233,4.572558308,"N",0.94,0.64,4,15.858,"4:17",13,502,0.502,0.444145803,7.403610541,4.28333333333333,0.117198443579767,0.138480438825143,0.593157879634361,21.9165932820678,13.5206268953145,8.28822655143612,8.35050067763131,5.17012621768324,5.23240034387843
"SAME4","SAME",4,"T","T",4.577195894,0,25.9318912,4.577195894,"Y",1.61,1.55,4,14.051,"4:00",29,690.25,0.69025,3.155537398,30.50908709,4,0.1725625,0.138480438825143,0.553921755300571,52.3539646574523,49.0432079976442,7.35781997059438,7.35781997059438,41.6853880334798,41.6853880334798
"SAME5","SAME",5,"T","T",1.79222586,0,0.3021,1.79222586,"N",0.74,0.78,5,15.351,"3:09",23,313.75,0.31375,0.335465547,2.09432586,3.15,0.0996031746031746,0.138480438825143,0.436213382299199,52.7264887628419,5.58514164672767,4.77950231251421,4.77950231251421,0.805639334213458,0.805639334213458
"SAME6","SAME",6,"C","C",11.06129082,0,0.0682,11.06129082,"Y",0.94,1.55,4,9.333,"3:30",16,439.25,0.43925,1.075665617,11.12949082,3.5,0.1255,0.138480438825143,0.484681535887999,33.0113668776054,24.0915920448658,23.9439620585499,23.9439620585499,0.147629986315928,0.147629986315928
"SAME7","SAME",7,"C","T",2.450832365,0,1.920223688,2.450832365,"N",0.55,0.8,8,22.3,"3:15",14,439.25,0.43925,0.190066356,4.371056053,3.25,0.135153846153846,0.138480438825143,0.450061426181714,31.1068649423589,9.83020328832896,5.51175278501194,5.51175278501194,4.31845050331702,4.31845050331702
"SAME8","SAME",8,"C","C",5.57506214,0,0,5.57506214,"N",0.74,0.79,6,9.281,"2:57",12,376.5,0.3765,0.339766387,5.57506214,2.95,0.127627118644068,0.138480438825143,0.408517294534171,29.3745213741404,14.2036670499297,14.2036670499297,14.2036670499297,0,0
"SAME9","SAME",9,"T","C",7.20876106,0,0,7.20876106,"N",1.17,1.7,6,5.949,"3:12",9,439.25,0.43925,1.827723628,7.20876106,3.2,0.137265625,0.138480438825143,0.443137404240457,20.3097276688392,16.339220223129,16.339220223129,16.339220223129,0,0
