"Sample","sp","plant","treat","treatw","herb","omni","pred","herb_om","flower","diameter","height","complexity","sample_g","vaccum","total_abun","plant_g","plant_kg","plant_vol","arth_mg","vac_min","kg_min","mean_kg_min","kg_vac","abun_kg","mg_kg","herb_kg","ho_kg","pred_kg","po_kg"
"ARDO5","ARDO",5,"T","T",0.868357798,0,6.372094753,0.868357798,"N",0.56,0.84,3,1.611,"2:03",19,348.9,0.3489,0.206892726,7.001294753,2.05,0.17019512195122,0.171952538890666,0.352502704725865,53.9002956439042,19.9636947671491,2.47606059158094,2.47606059158094,18.1695756519515,18.1695756519515
"ARDO6","ARDO",6,"T","T",3.536040337,0,7.506958542,3.536040337,"N",0.74,0.87,3,2.023,"2:18",20,418.68,0.41868,0.37417311,11.04299888,2.3,0.182034782608696,0.171952538890666,0.395490839448532,50.5700714279193,27.1269820655327,8.68623675933934,8.68623675933934,18.4407453037369,18.4407453037369
"ARDO7","ARDO",7,"T","T",2.096243901,0,8.922050163,2.096243901,"N",0.6,0.68,2,1.766,"1:55",17,418.68,0.41868,0.19226547,11.01829406,1.91666666666667,0.218441739130435,0.171952538890666,0.329575699540443,51.5814728564777,29.4506117808848,5.60301485785528,5.60301485785528,23.8475969337211,23.8475969337211
"ARDO8","ARDO",8,"C","C",15.3563362,0,1.520492542,15.3563362,"N",0.75,0.79,3,3.522,"2:56",26,628.02,0.62802,0.349011309,18.42885243,2.93333333333333,0.214097727272727,0.171952538890666,0.504394114079287,51.5469932623223,32.5479031051881,27.1214143467039,27.1214143467039,2.68540019608682,2.68540019608682
"ARDO9","ARDO",9,"C","C",2.150483658,0,6.940659463,2.150483658,"Y",0.81,0.77,4,NA,"2:55",29,628.02,0.62802,0.396780796,9.091143121,2.91666666666667,0.215321142857143,0.171952538890666,0.501528238431109,57.8232645298666,16.0969541834303,3.80768803816103,3.80768803816103,12.2892661452693,12.2892661452693
"ENCA1","ENCA",1,"T","T",0.1408,1.416092542,4.362576843,1.556892542,"Y",0.6,0.98,6,NA,"2:45",9,219.9,0.2199,0.277088472,5.919469385,2.75,0.0799636363636364,0.16685036443997,0.458838502209916,19.6147445270025,17.4425625354292,0.414887322706954,4.58760638134093,12.8549561540882,17.0276752127222
"ENCA10","ENCA",10,"C","C",0.2065,1.416092542,0,1.622592542,"Y",1.35,0.85,12,22.222,"3:42",6,703.68,0.70368,1.21667993,1.622592542,3.7,0.190183783783784,0.16685036443997,0.617346348427888,9.71901755842468,2.45656348025306,0.312635702150452,2.45656348025306,0,2.14392777810261
"ENCA11","ENCA",11,"C","C",0.656,0,0.1636,0.656,"N",1.19,1.54,6,11.491,"3:56",17,527.76,0.52776,1.712791602,0.8196,3.93333333333333,0.134176271186441,0.16685036443997,0.656278100130547,25.9036527298692,1.38441491014459,1.10807245126263,1.10807245126263,0.27634245888196,0.27634245888196
"ENCA12","ENCA",12,"T","T",2.925450739,0,4.960205387,2.925450739,"N",0.91,1.37,4,5.308,"2:30",16,263.88,0.26388,0.89103186,7.885656127,2.5,0.105552,0.16685036443997,0.417125911099924,38.3577226305827,23.1588478116541,8.59155755131397,8.59155755131397,14.5672902574033,14.5672902574033
"ENCA14","ENCA",14,"T","T",0.4036,0,0,0.4036,"N",1.03,1.52,5,9.761,"1:33",7,175.92,0.17592,1.266507946,0.4036,1.55,0.113496774193548,0.16685036443997,0.258618064881953,27.066941372387,1.85760481125925,1.85760481125925,1.85760481125925,0,0
"ENCA2","ENCA",2,"C","C",0.0548,0,8.939350163,0.0548,"N",1.64,1.12,8,6.545,"3:28",7,703.68,0.70368,2.365895728,8.994150163,3.46666666666667,0.202984615384615,0.16685036443997,0.578414596725228,12.1020459020769,14.0304002309552,0.0854851118473974,0.0854851118473974,13.9449151191078,13.9449151191078
"ENCA3","ENCA",3,"T","T",6.796294753,2.900385085,7.091924219,9.696679838,"Y",1.24,0.95,10,NA,"4:00",22,615.72,0.61572,1.147246805,16.78860406,4,0.15393,0.16685036443997,0.667401457759878,32.963667885657,26.168378618358,10.5933771302761,15.1142041610446,11.0541744526373,15.5750014834059
"ENCA4","ENCA",4,"C","C",20.83518244,0,2.384753154,20.83518244,"Y",1.2,0.94,12,11.47,"3:38",40,615.72,0.61572,1.063114954,23.21993559,3.63333333333333,0.169464220183486,0.16685036443997,0.606222990798556,65.9823210388465,38.0049409258045,34.1017258528304,34.1017258528304,3.90321507952107,3.90321507952107
"ENCA5","ENCA",5,"C","C",11.66276582,1.416092542,3.321852233,13.07885836,"N",0.81,1,15,4.747,"2:58",25,439.8,0.4398,0.515299735,16.40071059,2.96666666666667,0.148247191011236,0.16685036443997,0.494989414505243,50.5061305704653,35.0896369503294,24.9527126410022,27.9824699703564,7.1071669863916,10.1369243200249
"ENCA6","ENCA",6,"C","T",0.819357798,0.0682,4.960205387,0.887557798,"N",1.19,1.21,8,17.766,"3:57",17,527.76,0.52776,1.34576483,5.608605387,3.95,0.133610126582278,0.16685036443997,0.65905893953788,25.7943546170849,9.45149289441549,1.38076292971705,1.4956920022621,8.35882411672903,8.47375318927409
"ENCA7","ENCA",7,"T","C",8.698589533,0,1.920223688,8.698589533,"N",1.24,0.91,7,17.998,"3:15",21,659.7,0.6597,1.098941677,10.61881322,3.25,0.202984615384615,0.16685036443997,0.542263684429901,38.726546886646,17.6691082393834,14.4739639735884,14.4739639735884,3.19514426745892,3.19514426745892
"ENCA8","ENCA",8,"T","T",20.41869519,1.450192542,18.20493318,21.86888773,"Y",1.23,0.9,7,NA,"3:14",33,791.64,0.79164,1.069405993,40.07382091,3.23333333333333,0.244837113402062,0.16685036443997,0.539482845022568,61.1696929836935,60.2105524067098,30.6789043045142,32.8578054411338,27.352746965576,29.5316481052006
"ENCA9","ENCA",9,"T","T",15.79172413,0,11.84590014,15.79172413,"Y",1.3,0.81,10,NA,"2:44",29,791.64,0.79164,1.075131546,27.63762427,2.73333333333333,0.289624390243902,0.16685036443997,0.456057662802584,63.588450245059,44.3017969720649,25.3133825618116,25.3133825618116,18.9884144102533,18.9884144102533
"ERFA1","ERFA",1,"C","C",3.680795358,1.450192542,5.274538239,5.1309879,"Y",1.43,0.9,14,23.456,"3:26",30,564.59,0.56459,1.445454634,10.40552614,3.43333333333333,0.164443689320388,0.187846157959359,0.644938475660466,46.5160649149947,17.2059217279991,6.08633104894879,8.4842779698894,8.72164375645612,11.1195906773967
"ERFA10","ERFA",10,"T","T",2.728254882,1.722992542,5.875404466,4.451247424,"Y",1.31,0.65,21,4.186,"2:43",30,651.45,0.65145,0.876084162,10.32665189,2.71666666666667,0.23979754601227,0.187846157959359,0.510315395789592,58.7871740643492,17.7775167472285,4.69673979253917,7.66290240720196,10.1146143400265,13.0807769546893
