"species","Sample","treat","Order","feed","abundance","S","L","bm_name","a","b","S_bm","L_bm","total_bm"
"LUAL","LUAL8","C","AUCH","herb",6,2,4,"AUCH",0.0548,2.354,0.1096,5.72914441124215,5.83874441124215
"LUAL","LUAL9","C","AUCH","herb",7,7,0,"AUCH",0.0548,2.354,0.3836,0,0.3836
"LUAL","LUAL9","C","COCC","pred",2,1,1,"COLE",0.041,2.64,0.041,1.5930236883263,1.6340236883263
"LUAL","LUAL2","C","COLE","herb",4,2,2,"COLE",0.041,2.64,0.082,3.1860473766526,3.2680473766526
"LUAL","LUAL3","C","COLE","herb",4,3,1,"COLE",0.041,2.64,0.123,1.5930236883263,1.7160236883263
"LUAL","LUAL9","C","COLE","herb",9,6,3,"COLE",0.041,2.64,0.246,4.7790710649789,5.0250710649789
"LUAL","LUAL3","C","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"LUAL","LUAL9","C","DIPT","herb",3,2,1,"DIPT",0.0312,2.392,0.0624,0.859571669637562,0.921971669637562
"LUAL","LUAL2","C","HETE","pred",5,4,1,"HETE",0.0341,2.688,0.1364,1.41609254248404,1.55249254248404
"LUAL","LUAL3","C","HETE","pred",3,2,1,"HETE",0.0341,2.688,0.0682,1.41609254248404,1.48429254248404
"LUAL","LUAL5","C","HETE","pred",2,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"LUAL","LUAL2","C","HYME","pred",3,3,0,"HYME",0.1636,1.9,0.4908,0,0.4908
"LUAL","LUAL9","C","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"LUAL","LUAL5","C","LEPI","herb",2,1,1,"LEPI",0.011,2.571,0.011,0.38840867649477,0.39940867649477
"LUAL","LUAL2","C","MIRID","omni",2,1,1,"HETE",0.0341,2.688,0.0341,1.41609254248404,1.45019254248404
"LUAL","LUAL5","C","MIRID","omni",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"LUAL","LUAL5","C","NEUR","pred",1,1,0,"NEUR",0.0814,1.53,0.0814,0,0.0814
"LUAL","LUAL5","C","PSOC","herb",3,3,0,"PSOC",0.0425,1.637,0.1275,0,0.1275
"LUAL","LUAL9","C","PSOC","herb",1,1,0,"PSOC",0.0425,1.637,0.0425,0,0.0425
"LUAL","LUAL2","C","STER","herb",2,2,0,"STER",0.0598,1.724,0.1196,0,0.1196
"LUAL","LUAL5","C","STER","herb",5,5,0,"STER",0.0598,1.724,0.299,0,0.299
"LUAL","LUAL8","C","STER","herb",3,3,0,"STER",0.0598,1.724,0.1794,0,0.1794
"LUAL","LUAL9","C","STER","herb",5,5,0,"STER",0.0598,1.724,0.299,0,0.299
"LUAL","LUAL10","T","ACAR","pred",1,1,0,"ACAR",0.053,2.494,0.053,0,0.053
"LUAL","LUAL12","T","ACAR","pred",4,4,0,"ACAR",0.053,2.494,0.212,0,0.212
"LUAL","LUAL13","T","ACAR","pred",1,1,0,"ACAR",0.053,2.494,0.053,0,0.053
"LUAL","LUAL7","T","ACAR","pred",2,2,0,"ACAR",0.053,2.494,0.106,0,0.106
"LUAL","LUAL10","T","ARAN","pred",1,1,0,"ARAN",0.1044,2.296,0.1044,0,0.1044
"LUAL","LUAL11","T","ARAN","pred",5,1,4,"ARAN",0.1044,2.296,0.1044,10.0714089317053,10.1758089317053
"LUAL","LUAL12","T","ARAN","pred",2,0,2,"ARAN",0.1044,2.296,0,5.03570446585264,5.03570446585264
"LUAL","LUAL1","T","ARAN","pred",3,3,0,"ARAN",0.1044,2.296,0.3132,0,0.3132
"LUAL","LUAL6","T","ARAN","pred",4,2,2,"ARAN",0.1044,2.296,0.2088,5.03570446585264,5.24450446585264
"LUAL","LUAL7","T","ARAN","pred",4,2,2,"ARAN",0.1044,2.296,0.2088,5.03570446585264,5.24450446585264
"LUAL","LUAL1","T","AUCH","herb",1,1,0,"AUCH",0.0548,2.354,0.0548,0,0.0548
"LUAL","LUAL10","T","AUCH","herb",2,2,0,"AUCH",0.0548,2.354,0.1096,0,0.1096
"LUAL","LUAL11","T","AUCH","herb",7,7,0,"AUCH",0.0548,2.354,0.3836,0,0.3836
"LUAL","LUAL12","T","AUCH","herb",33,32,1,"AUCH",0.0548,2.354,1.7536,1.43228610281054,3.18588610281054
"LUAL","LUAL13","T","AUCH","herb",31,27,4,"AUCH",0.0548,2.354,1.4796,5.72914441124215,7.20874441124215
"LUAL","LUAL4","T","AUCH","herb",2,2,0,"AUCH",0.0548,2.354,0.1096,0,0.1096
"LUAL","LUAL6","T","AUCH","herb",2,2,0,"AUCH",0.0548,2.354,0.1096,0,0.1096
"LUAL","LUAL7","T","AUCH","herb",20,19,1,"AUCH",0.0548,2.354,1.0412,1.43228610281054,2.47348610281054
"LUAL","LUAL11","T","COCC","pred",2,2,0,"COLE",0.041,2.64,0.082,0,0.082
"LUAL","LUAL12","T","COCC","pred",1,1,0,"COLE",0.041,2.64,0.041,0,0.041
"LUAL","LUAL7","T","COCC","pred",1,1,0,"COLE",0.041,2.64,0.041,0,0.041
"LUAL","LUAL10","T","COLE","herb",3,1,2,"COLE",0.041,2.64,0.041,3.1860473766526,3.2270473766526
"LUAL","LUAL11","T","COLE","herb",21,3,18,"COLE",0.041,2.64,0.123,28.6744263898734,28.7974263898734
"LUAL","LUAL12","T","COLE","herb",5,2,3,"COLE",0.041,2.64,0.082,4.7790710649789,4.8610710649789
"LUAL","LUAL13","T","COLE","herb",2,2,0,"COLE",0.041,2.64,0.082,0,0.082
"LUAL","LUAL1","T","COLE","herb",28,22,6,"COLE",0.041,2.64,0.902,9.55814212995781,10.4601421299578
"LUAL","LUAL6","T","COLE","herb",1,1,0,"COLE",0.041,2.64,0.041,0,0.041
"LUAL","LUAL7","T","COLE","herb",2,2,0,"COLE",0.041,2.64,0.082,0,0.082
"LUAL","LUAL10","T","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"LUAL","LUAL7","T","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"LUAL","LUAL1","T","HETE","pred",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"LUAL","LUAL4","T","HETE","pred",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"LUAL","LUAL6","T","HETE","pred",2,1,1,"HETE",0.0341,2.688,0.0341,1.41609254248404,1.45019254248404
"LUAL","LUAL7","T","HETE","pred",2,0,2,"HETE",0.0341,2.688,0,2.83218508496807,2.83218508496807
"LUAL","LUAL11","T","HYME","pred",2,1,1,"HYME",0.1636,1.9,0.1636,2.27875315448393,2.44235315448393
"LUAL","LUAL12","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"LUAL","LUAL4","T","HYME","pred",2,0,2,"HYME",0.1636,1.9,0,4.55750630896787,4.55750630896787
"LUAL","LUAL1","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"LUAL","LUAL6","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"LUAL","LUAL7","T","HYME","pred",4,3,1,"HYME",0.1636,1.9,0.4908,2.27875315448393,2.76955315448393
"LUAL","LUAL12","T","LEPI","herb",1,0,1,"LEPI",0.011,2.571,0,0.38840867649477,0.38840867649477
"LUAL","LUAL7","T","LEPI","herb",2,0,2,"LEPI",0.011,2.571,0,0.776817352989539,0.776817352989539
"LUAL","LUAL1","T","MIRID","omni",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"LUAL","LUAL11","T","MIRID","omni",4,4,0,"HETE",0.0341,2.688,0.1364,0,0.1364
"LUAL","LUAL12","T","MIRID","omni",3,3,0,"HETE",0.0341,2.688,0.1023,0,0.1023
"LUAL","LUAL6","T","MIRID","omni",4,1,3,"HETE",0.0341,2.688,0.0341,4.24827762745211,4.28237762745211
"LUAL","LUAL12","T","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"LUAL","LUAL13","T","ORTH","herb",2,0,2,"ORTH",0.0255,2.637,0,1.97334206296005,1.97334206296005
"LUAL","LUAL6","T","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"LUAL","LUAL10","T","STER","herb",1,1,0,"STER",0.0598,1.724,0.0598,0,0.0598
"LUAL","LUAL7","T","THYS","herb",1,1,0,"THYS",0.0071,2.537,0.0071,0,0.0071
"SAAP","SAAP6","C","ACAR","pred",1,1,0,"ACAR",0.053,2.494,0.053,0,0.053
"SAAP","SAAP12","C","ARAN","pred",1,0,1,"ARAN",0.1044,2.296,0,2.51785223292632,2.51785223292632
"SAAP","SAAP2","C","ARAN","pred",3,2,1,"ARAN",0.1044,2.296,0.2088,2.51785223292632,2.72665223292632
"SAAP","SAAP2","C","ARCH","herb",2,0,2,"THYS",0.0071,2.537,0,0.478315596699969,0.478315596699969
"SAAP","SAAP6","C","ARCH","herb",1,0,1,"THYS",0.0071,2.537,0,0.239157798349984,0.239157798349984
"SAAP","SAAP12","C","AUCH","herb",16,12,4,"AUCH",0.0548,2.354,0.6576,5.72914441124215,6.38674441124214
"SAAP","SAAP2","C","AUCH","herb",28,24,4,"AUCH",0.0548,2.354,1.3152,5.72914441124215,7.04434441124214
"SAAP","SAAP4","C","AUCH","herb",31,23,8,"AUCH",0.0548,2.354,1.2604,11.4582888224843,12.7186888224843
"SAAP","SAAP6","C","AUCH","herb",23,23,0,"AUCH",0.0548,2.354,1.2604,0,1.2604
"SAAP","SAAP8","C","AUCH","herb",5,5,0,"AUCH",0.0548,2.354,0.274,0,0.274
"SAAP","SAAP4","C","COCC","pred",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"SAAP","SAAP6","C","COCC","pred",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"SAAP","SAAP2","C","COLE","herb",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"SAAP","SAAP6","C","COLE","herb",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"SAAP","SAAP8","C","COLE","herb",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"SAAP","SAAP4","C","HYME","pred",3,3,0,"HYME",0.1636,1.9,0.4908,0,0.4908
"SAAP","SAAP6","C","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"SAAP","SAAP12","C","LEPI","herb",1,0,1,"LEPI",0.011,2.571,0,0.38840867649477,0.38840867649477
"SAAP","SAAP2","C","LEPI","herb",1,0,1,"LEPI",0.011,2.571,0,0.38840867649477,0.38840867649477
"SAAP","SAAP4","C","LEPI","herb",2,0,2,"LEPI",0.011,2.571,0,0.776817352989539,0.776817352989539
"SAAP","SAAP6","C","MIRID","omni",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"SAAP","SAAP6","C","NEUR","pred",1,1,0,"NEUR",0.0814,1.53,0.0814,0,0.0814
"SAAP","SAAP6","C","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"SAAP","SAAP12","C","STER","herb",3,3,0,"STER",0.0598,1.724,0.1794,0,0.1794
"SAAP","SAAP2","C","STER","herb",3,2,1,"STER",0.0598,1.724,0.1196,0.652608324206283,0.772208324206283
"SAAP","SAAP15","T","ACAR","pred",1,1,0,"ACAR",0.053,2.494,0.053,0,0.053
"SAAP","SAAP7","T","ACAR","pred",3,3,0,"ACAR",0.053,2.494,0.159,0,0.159
"SAAP","SAAP1","T","ARAN","pred",2,0,2,"ARAN",0.1044,2.296,0,5.03570446585264,5.03570446585264
"SAAP","SAAP15","T","ARAN","pred",4,2,2,"ARAN",0.1044,2.296,0.2088,5.03570446585264,5.24450446585264
"SAAP","SAAP3","T","ARAN","pred",1,0,1,"ARAN",0.1044,2.296,0,2.51785223292632,2.51785223292632
"SAAP","SAAP7","T","ARAN","pred",2,0,2,"ARAN",0.1044,2.296,0,5.03570446585264,5.03570446585264
"SAAP","SAAP15","T","ARCH","herb",1,0,1,"THYS",0.0071,2.537,0,0.239157798349984,0.239157798349984
"SAAP","SAAP3","T","ARCH","herb",2,0,2,"THYS",0.0071,2.537,0,0.478315596699969,0.478315596699969
"SAAP","SAAP5","T","ARCH","herb",3,0,3,"THYS",0.0071,2.537,0,0.717473395049953,0.717473395049953
"SAAP","SAAP1","T","AUCH","herb",11,11,0,"AUCH",0.0548,2.354,0.6028,0,0.6028
"SAAP","SAAP10","T","AUCH","herb",56,54,2,"AUCH",0.0548,2.354,2.9592,2.86457220562107,5.82377220562107
"SAAP","SAAP11","T","AUCH","herb",30,23,7,"AUCH",0.0548,2.354,1.2604,10.0260027196738,11.2864027196738
"SAAP","SAAP15","T","AUCH","herb",10,10,0,"AUCH",0.0548,2.354,0.548,0,0.548
"SAAP","SAAP3","T","AUCH","herb",13,13,0,"AUCH",0.0548,2.354,0.7124,0,0.7124
"SAAP","SAAP5","T","AUCH","herb",5,5,0,"AUCH",0.0548,2.354,0.274,0,0.274
"SAAP","SAAP7","T","AUCH","herb",19,19,0,"AUCH",0.0548,2.354,1.0412,0,1.0412
"SAAP","SAAP9","T","AUCH","herb",17,14,3,"AUCH",0.0548,2.354,0.7672,4.29685830843161,5.06405830843161
"SAAP","SAAP1","T","COCC","pred",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"SAAP","SAAP1","T","COLE","herb",11,0,11,"COLE",0.041,2.64,0,17.5232605715893,17.5232605715893
"SAAP","SAAP10","T","COLE","herb",11,7,4,"COLE",0.041,2.64,0.287,6.37209475330521,6.65909475330521
"SAAP","SAAP11","T","COLE","herb",14,6,8,"COLE",0.041,2.64,0.246,12.7441895066104,12.9901895066104
"SAAP","SAAP15","T","COLE","herb",13,1,12,"COLE",0.041,2.64,0.041,19.1162842599156,19.1572842599156
"SAAP","SAAP3","T","COLE","herb",12,2,10,"COLE",0.041,2.64,0.082,15.930236883263,16.012236883263
"SAAP","SAAP7","T","COLE","herb",7,1,6,"COLE",0.041,2.64,0.041,9.55814212995781,9.59914212995781
"SAAP","SAAP9","T","COLE","herb",4,0,4,"COLE",0.041,2.64,0,6.37209475330521,6.37209475330521
"SAAP","SAAP1","T","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"SAAP","SAAP10","T","DIPT","herb",2,2,0,"DIPT",0.0312,2.392,0.0624,0,0.0624
"SAAP","SAAP3","T","DIPT","herb",4,4,0,"DIPT",0.0312,2.392,0.1248,0,0.1248
"SAAP","SAAP15","T","HETE","pred",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"SAAP","SAAP1","T","HYME","pred",4,1,3,"HYME",0.1636,1.9,0.1636,6.8362594634518,6.9998594634518
"SAAP","SAAP10","T","HYME","pred",4,2,2,"HYME",0.1636,1.9,0.3272,4.55750630896787,4.88470630896787
"SAAP","SAAP11","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"SAAP","SAAP15","T","HYME","pred",7,7,0,"HYME",0.1636,1.9,1.1452,0,1.1452
"SAAP","SAAP3","T","HYME","pred",14,8,6,"HYME",0.1636,1.9,1.3088,13.6725189269036,14.9813189269036
"SAAP","SAAP7","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"SAAP","SAAP9","T","HYME","pred",1,0,1,"HYME",0.1636,1.9,0,2.27875315448393,2.27875315448393
"SAAP","SAAP3","T","LEPI","herb",1,0,1,"LEPI",0.011,2.571,0,0.38840867649477,0.38840867649477
"SAAP","SAAP5","T","LEPI","herb",1,0,1,"LEPI",0.011,2.571,0,0.38840867649477,0.38840867649477
"SAAP","SAAP11","T","LEPI","herb",1,1,0,"LEPI",0.011,2.571,0.011,0,0.011
"SAAP","SAAP3","T","MIRID","omni",3,3,0,"HETE",0.0341,2.688,0.1023,0,0.1023
"SAAP","SAAP5","T","MIRID","omni",9,6,3,"HETE",0.0341,2.688,0.2046,4.24827762745211,4.45287762745211
"SAAP","SAAP1","T","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"SAAP","SAAP3","T","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"SAAP","SAAP5","T","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"SAAP","SAAP7","T","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"SAAP","SAAP1","T","PSOC","herb",1,1,0,"PSOC",0.0425,1.637,0.0425,0,0.0425
"SAAP","SAAP1","T","STER","herb",5,5,0,"STER",0.0598,1.724,0.299,0,0.299
"SAAP","SAAP15","T","STER","herb",1,1,0,"STER",0.0598,1.724,0.0598,0,0.0598
"SAME","SAME11","C","ARAN","pred",1,0,1,"ARAN",0.1044,2.296,0,2.51785223292632,2.51785223292632
"SAME","SAME11","C","AUCH","herb",4,4,0,"AUCH",0.0548,2.354,0.2192,0,0.2192
"SAME","SAME2","C","AUCH","herb",5,5,0,"AUCH",0.0548,2.354,0.274,0,0.274
"SAME","SAME6","C","AUCH","herb",9,4,5,"AUCH",0.0548,2.354,0.2192,7.16143051405268,7.38063051405268
"SAME","SAME8","C","AUCH","herb",3,0,3,"AUCH",0.0548,2.354,0,4.29685830843161,4.29685830843161
"SAME","SAME9","C","AUCH","herb",5,1,4,"AUCH",0.0548,2.354,0.0548,5.72914441124215,5.78394441124215
"SAME","SAME11","C","COLE","herb",2,0,2,"COLE",0.041,2.64,0,3.1860473766526,3.1860473766526
"SAME","SAME6","C","COLE","herb",3,1,2,"COLE",0.041,2.64,0.041,3.1860473766526,3.2270473766526
"SAME","SAME8","C","COLE","herb",2,2,0,"COLE",0.041,2.64,0.082,0,0.082
"SAME","SAME11","C","DIPT","herb",2,2,0,"DIPT",0.0312,2.392,0.0624,0,0.0624
"SAME","SAME2","C","HETE","pred",2,2,0,"HETE",0.0341,2.688,0.0682,0,0.0682
"SAME","SAME6","C","HETE","pred",2,2,0,"HETE",0.0341,2.688,0.0682,0,0.0682
"SAME","SAME11","C","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"SAME","SAME2","C","ISOP","herb",1,0,1,"ISOP",0.0101,2.844,0,0.520690901733912,0.520690901733912
"SAME","SAME8","C","ISOP","herb",1,0,1,"ISOP",0.0101,2.844,0,0.520690901733912,0.520690901733912
"SAME","SAME11","C","MIRID","omni",3,2,1,"HETE",0.0341,2.688,0.0682,1.41609254248404,1.48429254248404
"SAME","SAME6","C","PSOC","herb",2,1,1,"PSOC",0.0425,1.637,0.0425,0.411112929783343,0.453612929783343
"SAME","SAME8","C","PSOC","herb",3,2,1,"PSOC",0.0425,1.637,0.085,0.411112929783343,0.496112929783343
"SAME","SAME2","C","STER","herb",2,2,0,"STER",0.0598,1.724,0.1196,0,0.1196
"SAME","SAME8","C","STER","herb",3,3,0,"STER",0.0598,1.724,0.1794,0,0.1794
"SAME","SAME9","C","STER","herb",4,2,2,"STER",0.0598,1.724,0.1196,1.30521664841257,1.42481664841257
"SAME","SAME10","T","ACAR","pred",1,1,0,"ACAR",0.053,2.494,0.053,0,0.053
"SAME","SAME10","T","ARAN","pred",3,3,0,"ARAN",0.1044,2.296,0.3132,0,0.3132
"SAME","SAME12","T","ARAN","pred",1,1,0,"ARAN",0.1044,2.296,0.1044,0,0.1044
"SAME","SAME3","T","ARAN","pred",4,3,1,"ARAN",0.1044,2.296,0.3132,2.51785223292632,2.83105223292632
"SAME","SAME4","T","ARAN","pred",1,1,0,"ARAN",0.1044,2.296,0.1044,0,0.1044
"SAME","SAME5","T","ARAN","pred",1,1,0,"ARAN",0.1044,2.296,0.1044,0,0.1044
"SAME","SAME14","T","ARAN","pred",2,1,1,"ARAN",0.1044,2.296,0.1044,2.51785223292632,2.62225223292632
"SAME","SAME1","T","AUCH","herb",8,6,2,"AUCH",0.0548,2.354,0.3288,2.86457220562107,3.19337220562107
"SAME","SAME10","T","AUCH","herb",1,1,0,"AUCH",0.0548,2.354,0.0548,0,0.0548
"SAME","SAME12","T","AUCH","herb",6,6,0,"AUCH",0.0548,2.354,0.3288,0,0.3288
"SAME","SAME14","T","AUCH","herb",3,3,0,"AUCH",0.0548,2.354,0.1644,0,0.1644
"SAME","SAME3","T","AUCH","herb",5,2,3,"AUCH",0.0548,2.354,0.1096,4.29685830843161,4.40645830843161
"SAME","SAME4","T","AUCH","herb",2,0,2,"AUCH",0.0548,2.354,0,2.86457220562107,2.86457220562107
"SAME","SAME5","T","AUCH","herb",10,10,0,"AUCH",0.0548,2.354,0.548,0,0.548
"SAME","SAME7","T","AUCH","herb",4,4,0,"AUCH",0.0548,2.354,0.2192,0,0.2192
"SAME","SAME7","T","COCC","pred",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"SAME","SAME12","T","COLE","herb",1,1,0,"COLE",0.041,2.64,0.041,0,0.041
"SAME","SAME3","T","COLE","herb",1,1,0,"COLE",0.041,2.64,0.041,0,0.041
"SAME","SAME4","T","COLE","herb",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"SAME","SAME5","T","COLE","herb",3,3,0,"COLE",0.041,2.64,0.123,0,0.123
"SAME","SAME7","T","COLE","herb",1,0,1,"COLE",0.041,2.64,0,1.5930236883263,1.5930236883263
"SAME","SAME1","T","COLE","herb",2,1,1,"COLE",0.041,2.64,0.041,1.5930236883263,1.6340236883263
"SAME","SAME14","T","COLE","herb",4,2,2,"COLE",0.041,2.64,0.082,3.1860473766526,3.2680473766526
"SAME","SAME10","T","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"SAME","SAME12","T","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"SAME","SAME3","T","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"SAME","SAME14","T","DIPT","herb",1,1,0,"DIPT",0.0312,2.392,0.0312,0,0.0312
"SAME","SAME12","T","HETE","pred",8,8,0,"HETE",0.0341,2.688,0.2728,0,0.2728
"SAME","SAME4","T","HETE","pred",18,8,10,"HETE",0.0341,2.688,0.2728,14.1609254248404,14.4337254248404
"SAME","SAME5","T","HETE","pred",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"SAME","SAME10","T","HYME","pred",3,0,3,"HYME",0.1636,1.9,0,6.8362594634518,6.8362594634518
"SAME","SAME4","T","HYME","pred",5,0,5,"HYME",0.1636,1.9,0,11.3937657724197,11.3937657724197
"SAME","SAME5","T","HYME","pred",1,1,0,"HYME",0.1636,1.9,0.1636,0,0.1636
"SAME","SAME7","T","HYME","pred",2,2,0,"HYME",0.1636,1.9,0.3272,0,0.3272
"SAME","SAME1","T","HYME","pred",2,2,0,"HYME",0.1636,1.9,0.3272,0,0.3272
"SAME","SAME12","T","HYME","pred",2,1,1,"HYME",0.1636,1.9,0.1636,2.27875315448393,2.44235315448393
"SAME","SAME14","T","HYME","pred",3,2,1,"HYME",0.1636,1.9,0.3272,2.27875315448393,2.60595315448393
"SAME","SAME14","T","ISOP","herb",2,2,0,"ISOP",0.0101,2.844,0.0202,0,0.0202
"SAME","SAME7","T","LEPI","herb",2,1,1,"LEPI",0.011,2.571,0.011,0.38840867649477,0.39940867649477
"SAME","SAME10","T","MIRID","omni",3,3,0,"HETE",0.0341,2.688,0.1023,0,0.1023
"SAME","SAME3","T","MIRID","omni",1,1,0,"HETE",0.0341,2.688,0.0341,0,0.0341
"SAME","SAME12","T","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"SAME","SAME14","T","ORTH","herb",1,0,1,"ORTH",0.0255,2.637,0,0.986671031480023,0.986671031480023
"SAME","SAME5","T","PSOC","herb",2,0,2,"PSOC",0.0425,1.637,0,0.822225859566686,0.822225859566686
"SAME","SAME12","T","STER","herb",1,1,0,"STER",0.0598,1.724,0.0598,0,0.0598
"SAME","SAME14","T","STER","herb",3,3,0,"STER",0.0598,1.724,0.1794,0,0.1794
"SAME","SAME3","T","STER","herb",1,1,0,"STER",0.0598,1.724,0.0598,0,0.0598
"SAME","SAME4","T","STER","herb",2,2,0,"STER",0.0598,1.724,0.1196,0,0.1196
"SAME","SAME5","T","STER","herb",5,5,0,"STER",0.0598,1.724,0.299,0,0.299
"SAME","SAME7","T","STER","herb",4,4,0,"STER",0.0598,1.724,0.2392,0,0.2392
