"species","Sample","treat","Order","feed","abundance","S","L","bm_name","a","b","S_bm","L_bm","total_bm"
"ERFA","ERFA1","C","DIPT","herb",2,1,1,"DIPT",0.0312,2.392,0.0312,0.859571669637562,0.890771669637562
"ERFA","ERFA1","C","HETE","pred",2,0,2,"HETE",0.0341,2.688,0,2.83218508496807,2.83218508496807
"ERFA","ERFA4","C","HETE","pred",5,3,2,"HETE",0.0341,2.688,0.1023,2.83218508496807,2.93448508496807
"ERFA","ERFA7","C","HETE","pred",2,1,1,"HETE",0.0341,2.688,0.0341,1.41609254248404,1.45019254248404
"ERFA","ERFA4","C","HYME","pred",6,4,2,"HYME",0.1636,1.9,0.6544,4.55750630896787,5.21190630896787
"ERFA","ERFA5","C","HYME","pred",5,5,0,"HYME",0.1636,1.9,0.818,0,0.818
"ERFA","ERFA9","C","HYME","pred",3,1,2,"HYME",0.1636,1.9,0.1636,4.55750630896787,4.72110630896787
"ERFA","ERFA1","C","HYME","pred",2,1,1,"HYME",0.1636,1.9,0.1636,2.27875315448393,2.44235315448393
"ERFA","ERFA9","C","LEPI","herb",2,0,2,"LEPI",0.011,2.571,0,0.776817352989539,0.776817352989539
"ERFA","ERFA1","C","MIRID","omni",2,1,1,"HETE",0.0341,2.688,0.0341,1.41609254248404,1.45019254248404
"ERFA","ERFA4","C","MIRID","omni",3,2,1,"HETE",0.0341,2.688,0.0682,1.41609254248404,1.48429254248404
"ERFA","ERFA5","C","MIRID","omni",11,5,6,"HETE",0.0341,2.688,0.1705,8.49655525490422,8.66705525490422
"ERFA","ERFA7","C","MIRID","omni",10,4,6,"HETE",0.0341,2.688,0.1364,8.49655525490422,8.63295525490422
"ERFA","ERFA9","C","MIRID","omni",11,7,4,"HETE",0.0341,2.688,0.2387,5.66437016993615,5.90307016993615
"ERFA","ERFA5","C","NEUR","pred",1,0,1,"NEUR",0.0814,1.53,0,0.678853703459738,0.678853703459738
"ERFA","ERFA1","C","STER","herb",12,12,0,"STER",0.0598,1.724,0.7176,0,0.7176
"ERFA","ERFA4","C","STER","herb",1,1,0,"STER",0.0598,1.724,0.0598,0,0.0598
"ERFA","ERFA4","C","THYS","herb",1,1,0,"THYS",0.0071,2.537,0.0071,0,0.0071
"ERFA","ERFA10","T","ACAR","pred",2,2,0,"ACAR",0.053,2.494,0.106,0,0.106
"ERFA","ERFA12","T","ACAR","pred",4,4,0,"ACAR",0.053,2.494,0.212,0,0.212
"ERFA","ERFA10","T","ARAN","pred",4,2,2,"ARAN",0.1044,2.296,0.2088,5.03570446585264,5.24450446585264
"ERFA","ERFA11","T","ARAN","pred",2,1,1,"ARAN",0.1044,2.296,0.1044,2.51785223292632,2.62225223292632
"ERFA","ERFA12","T","ARAN","pred",2,0,2,"ARAN",0.1044,2.296,0,5.03570446585264,5.03570446585264
"ERFA","ERFA13","T","ARAN","pred",2,2,0,"ARAN",0.1044,2.296,0.2088,0,0.2088
"ERFA","ERFA2","T","ARAN","pred",4,2,2,"ARAN",0.1044,2.296,0.2088,5.03570446585264,5.24450446585264
"ERFA","ERFA6","T","ARAN","pred",4,0,4,"ARAN",0.1044,2.296,0,10.0714089317053,10.0714089317053
