"sp","DD_mean","DD_sd","DD_se","DD_n","ID_mean","ID_sd","ID_se","ID_n","C_dens_mean","C_dens_se","C_mg_mean","C_mg_se","C_mg_sd","C_n","T_dens_mean","T_dens_se","T_mg_mean","T_mg_se","T_mg_sd","T_n","yi","vi","sei","zi","ci.lb","ci.ub","LRR_ID","LRR_var"
"ARCA",19.042947955,5.07270052996396,2.53635026498198,4,18.1518652,8.80969104587334,5.08627749681241,3,30.9875497740848,4.81340265494011,22.2002488662789,5.85305306098764,13.0878245202816,5,33.3837511553291,5.15693495723135,17.9748801903415,2.2283529258966,5.89566767520555,7,0.211128260772816,0.0848789696466445,0.384741740479739,0.523286549273463,-0.552749776952436,0.955410132426654,0.201330177737109,0.148026206867379
"ARDO",41.2974673433333,31.6086541265898,18.2492649687084,3,43.60842418,10.4440861265433,5.22204306327165,4,53.1510161643721,3.75874733881842,31.6510369161722,5.73707170728189,12.8284823292731,5,85.3021359830532,13.7119165453546,42.4895092701773,7.73451065896016,20.4635917163869,7,-0.29448629474059,0.0659914078322603,0.217243972456557,-1.47520519527951,-0.746269798684335,0.105310925062192,-0.320479436811072,0.0471949435687054
"ENCA",23.66128262375,25.7255784842941,12.862789242147,4,39.4472791266667,30.3291295624718,17.5105311171801,3,31.6679204027946,9.06395717705835,16.736241565317,6.55535817234995,16.0572826034411,6,40.2125380758611,6.25053531522667,27.2584073421227,7.28308833819325,19.269240519374,7,-0.487785478188774,0.224807053829833,0.59199901318947,-1.44829388898535,-2.01768529782228,0.302908191646947,-0.857388553087666,0.350462831617306
"ERFA",18.60301709625,7.01952990635809,3.50976495317905,4,21.99300242275,9.95209606744792,4.97604803372396,4,41.5678886043561,2.44914709370369,19.7922739551072,5.96118788383467,13.3296213349024,5,51.9129476936512,3.64365809495821,20.1411494801901,2.90597882835748,8.21934934206446,8,-0.017473302886344,0.11153089819157,0.376703789493557,-0.279882169350822,-0.843758534053261,0.632893186440997,-0.105432673806132,0.141905745018806
"ERPA",12.1931212155,15.5226199842782,7.76130999213912,4,7.493413431,11.0742873894333,5.53714369471664,4,24.8838603544317,5.65035328094101,7.43962942057273,3.68426832571131,8.23827442363983,5,22.9604759186368,4.85489386914031,9.69992291151731,4.45951470976512,12.6134123683043,8,-0.265296899669818,0.456612558198323,0.889533270063582,-0.00809793988756151,-1.75065655932372,1.7362497854258,-0.0072033869489609,0.791269438550009
"ISME",15.5302615265,5.17068535435815,2.58534267717908,4,11.1325120155,7.70716509951523,3.85358254975761,4,30.4084074756894,3.32351231302007,24.6647380085344,3.77711398010625,8.44588361828237,5,15.4302310719476,2.67498283940349,14.1356254349711,2.11334731585527,5.97744887217459,8,0.556676375212748,0.0458030717028797,0.37851695554142,2.1016357747241,0.0536251747065675,1.53738437550443,0.7955047751055,0.143275085632346
"LUAL",30.473129567,25.9403543908856,12.9701771954428,4,20.637981215,11.2564457390703,5.62822286953516,4,38.8219980194487,8.04827892743523,11.9926817962877,3.80973957751368,8.51883667189193,5,53.8490706429037,11.405908356432,26.3180849941791,7.51387872043555,21.2524583849331,8,-0.785959731785959,0.182427189085924,0.418673254569442,-1.29656362595429,-1.36342101328092,0.277747987211636,-0.54283651303464,0.175287294091769
"SAAP",22.809958455,12.2911023140127,6.14555115700635,4,19.34883100825,11.3713363160528,5.6856681580264,4,27.8149414900432,6.06947601191196,8.2752863093517,1.85559307566909,4.54525620563092,6,38.8180968201037,6.54576664362235,20.0951175751475,3.11810175952262,8.8193235943526,8,-0.887203358867328,0.0743573205047989,0.369633243181663,-2.29784117182629,-1.5738263287833,-0.124890640533711,-0.849358484658505,0.136628734464994
"SAME",14.061880612,7.86457407641298,3.93228703820649,4,22.42726164125,22.3813743377033,11.1906871688517,4,27.441270535294,2.38820579372554,12.3017012404037,3.60731037745653,8.06619121993322,5,35.8369290732989,5.01321111112536,18.1274747659972,4.85006587463502,13.7180578766236,8,-0.38769116519174,0.157572540721876,0.578762290176055,-1.03762753997359,-1.73489293573985,0.533813552970124,-0.600539691384863,0.334965788529832
