"Sample","sp","plant","treat","flower","diameter","height","complexity","sample_g","vaccum","vac_sec","vac_min","abun_comp","plant_g","vac_g_min","dens_g_min","plant_kg","plant_vol","arth_biomass","kg_min"
"ARCA1","ARCA",1,"C","N",0.87,1.01,11,7.827,"2:28",148,2.466666667,17,791,320.6756757,0.053013064,0.791,0.600412548574284,7.70605960605312,0.320675675632341
"ARCA2","ARCA",2,"T","N",0.91,1.37,9,4.998,"3:47",227,3.783333333,15,678,179.2070485,0.083702065,0.678,0.891031860179915,14.2326616656434,0.179207048473939
"ARCA3","ARCA",3,"T","N",1.29,1.45,8,4.544,"3:03",183,3.05,45,678,222.295082,0.202433628,0.678,1.89512257137906,13.0713721015505,0.222295081967213
"ARCA4","ARCA",4,"T","N",0.7,1.31,7,5.932,"3:49",229,3.816666667,20,791,207.2489083,0.096502318,0.791,0.504147081084822,14.5572984554685,0.207248908278843
"ARCA5","ARCA",5,"C","N",0.78,0.92,10,8.675,"3:36",216,3.6,18,565,156.9444444,0.114690265,0.565,0.439609343202127,29.5576482844403,0.156944444444444
"ARCA6","ARCA",6,"T","N",0.64,0.95,10,9.91,"3:33",213,3.55,34,904,254.6478873,0.133517699,0.904,0.305614133341215,26.3478843206498,0.254647887323944
"ARCA7","ARCA",7,"T","N",0.75,0.9,12,7.983,"3:23",203,3.383333333,20,1017,300.591133,0.066535562,1.017,0.397607820219958,13.9723492368825,0.300591133034541
"ARCA8","ARCA",8,"C","N",0.73,1.06,11,6.868,"3:45",225,3.75,27,791,210.9333333,0.128002528,0.791,0.44365100215097,17.0728119605289,0.210933333333333
"ARCA9","ARCA",9,"T","N",1,1.25,6,3.209,"2:42",162,2.7,21,791,292.962963,0.071681416,0.791,0.98174770424681,9.48856529402104,0.292962962962963
"ARCA10","ARCA",10,"C","N",0.9,1.2,7,4.444,"3:30",210,3.5,42,1130,322.8571429,0.130088496,1.13,0.76340701482232,13.676466464972,0.322857142857143
"ARCA11","ARCA",11,"T","N",0.99,1.04,12,6.899,"3:58",238,3.966666667,43,1130,284.8739496,0.150943953,1.13,0.800559489543673,27.9578093238847,0.284873949555893
"ARCA14","ARCA",14,"C","N",0.6,0.73,6,8,"1:32",92,1.533333333,34,565,368.4782609,0.092271386,0.565,0.206402637340849,50.4186000473718,0.368478260949669
"ARDO1","ARDO",1,"T","N",0.6,1.11,3,8.113,"1:58",118,1.966666667,52,418.68,212.8881356,0.244259737,0.41868,0.31384510609362,19.948133960933,0.212888135557138
"ARDO3","ARDO",3,"T","N",0.51,1,8,8,"2:05",125,2.083333333,47,418.68,200.9664,0.23386994,0.41868,0.204282062299676,32.7128301878624,0.200966400032155
"ARDO4","ARDO",4,"T","N",0.74,0.82,2,NA,"2:12",132,2.2,49,558.24,253.7454545,0.193106907,0.55824,0.352668908106683,23.5354063952215,0.253745454545454
"ARDO5","ARDO",5,"T","N",0.56,0.84,3,1.611,"2:19",139,2.316666667,19,348.9,150.6043165,0.126158403,0.3489,0.206892725794809,7.65743490932689,0.150604316525093
"ARDO6","ARDO",6,"T","N",0.74,0.87,3,2.023,"1:56",116,1.933333333,20,488.46,252.6517241,0.079160354,0.48846,0.374173109820505,8.506296301507,0.252651724181492
"ARDO7","ARDO",7,"T","N",0.6,0.68,2,1.766,"1:58",134,2.233333333,17,418.68,187.4686567,0.090681825,0.41868,0.192265470399695,6.15256062624984,0.187468656744398
"ARDO8","ARDO",8,"C","N",0.75,0.79,3,3.522,"2:30",150,2.5,26,628.02,251.208,0.103499889,0.62802,0.349011308859741,19.7003608803975,0.251208
