Sample,sp,plant,treat,flower,diameter,height,complexity,sample_g,vaccum,vac_sec,vac_min,abun_comp,plant_g,vac_g_min,dens_g_min
ERFA10,ERFA,10,T,Y,1.31,0.65,21,4.186,2:43,163,2.716666667,30,651.45,175.8515337,0.170598455
ERFA11,ERFA,11,T,Y,1.14,0.71,20,18.28,2:51,171,2.85,31,651.45,228.5789474,0.135620539
ERFA12,ERFA,12,T,Y,1.2,0.8,14,10.856,2:44,164,2.733333333,26,651.45,238.3353659,0.109089979
ERFA13,ERFA,13,T,Y,1.09,0.77,14,5.252,2:26,133,2.216666667,20,477.73,137.1473684,0.145828536
ERPA1,ERPA,1,T,Y,1.14,1.12,30,9.669,2:58,178,2.966666667,6,542.24,182.7775281,0.032826793
ERPA2,ERPA,2,C,Y,1.22,1.03,18,NA,3:52,232,3.866666667,6,610.02,157.7637931,0.03803154
ERPA3,ERPA,3,T,Y,1,0.85,25,9.576,2:28,148,2.466666667,19,542.24,219.827027,0.086431592
ERPA4,ERPA,4,C,N,1.3,0.8,30,23.779,3:29,209,3.483333333,19,847.25,243.2296651,0.078115472
ERPA5,ERPA,5,T,Y,1.18,0.72,31,36.256,2:30,150,2.5,23,813.36,325.344,0.070694403
ERPA6,ERPA,6,C,N,1,0.96,22,NA,1:20,80,1.333333333,12,305.01,228.7575,0.052457296
ERPA7,ERPA,7,T,Y,1.47,0.91,20,13.662,3:40,265,4.416666667,25,1152.26,260.8890566,0.095826173
ERPA8,ERPA,8,C,Y,1.63,0.99,90,9.854,2:12,132,2.2,29,982.81,446.7318182,0.064915904
ERPA9,ERPA,9,T,Y,0.96,1.14,16,16.545,2:55,175,2.916666667,3,610.02,209.1497143,0.014343792
ERPA10,ERPA,10,C,N,1.21,1.01,25,12.456,3:17,197,3.283333333,18,847.25,258.0456853,0.06975509
ERPA11,ERPA,11,T,Y,1.31,0.7,18,6.26,2:39,159,2.65,8,508.35,191.8301887,0.041703551
ERPA12,ERPA,12,T,N,0.87,0.88,11,9.333,2:40,160,2.666666667,14,440.57,165.21375,0.08473871
ERPA13,ERPA,13,T,N,1.3,0.89,15,10.743,3:44,242,4.033333333,25,948.92,235.2694215,0.106261153
ISME1,ISME,1,T,N,0.64,0.93,17,6.356,3:44,224,3.733333333,9,682.08,182.7,0.049261084
ISME2,ISME,2,T,N,0.84,0.84,17,NA,3:40,220,3.666666667,18,779.52,212.5963636,0.084667488
ISME3,ISME,3,T,N,0.49,0.61,14,4.863,2:08,128,2.133333333,10,876.96,411.075,0.024326461
ISME4,ISME,4,T,N,0.58,1.04,15,10.228,3:19,199,3.316666667,19,1071.84,323.1678392,0.058792979
ISME5,ISME,5,T,N,0.71,1.11,14,5.367,3:37,217,3.616666667,15,876.96,242.4774194,0.06186143
ISME6,ISME,6,T,N,0.66,0.91,14,8.878,3:18,198,3.3,29,584.64,177.1636364,0.163690476
ISME7,ISME,7,T,N,0.64,0.82,21,9.677,4:29,269,4.483333333,6,974.4,217.33829,0.027606732
ISME8,ISME,8,T,N,0.77,0.8,11,7.682,3:47,250,4.166666667,27,1364.16,327.3984,0.082468332
ISME9,ISME,9,C,N,0.6,0.83,25,12.921,3:05,185,3.083333333,25,1071.84,347.6237838,0.071916828
ISME10,ISME,10,C,N,0.48,0.93,19,4.765,2:30,150,2.5,20,974.4,389.76,0.051313629
ISME11,ISME,11,C,N,0.54,1.04,10,6.096,3:20,200,3.333333333,33,974.4,292.32,0.112889984
ISME12,ISME,12,C,N,0.99,1.18,24,13.111,2:34,180,3,35,1364.16,454.72,0.076970443
ISME13,ISME,13,C,Y,0.59,1.19,11,7.2,2:55,175,2.916666667,25,1266.72,434.304,0.057563366
LUAL1,LUAL,1,T,N,0.51,1.21,4,NA,3:12,231,3.85,35,252.76,65.65194805,0.533114417
LUAL2,LUAL,2,C,N,0.83,0.72,12,1.458,2:11,131,2.183333333,27,505.52,231.5358779,0.116612597
LUAL3,LUAL,3,C,N,0.64,0.59,5,3.564,2:41,161,2.683333333,15,379.14,141.2944099,0.106161312
LUAL4,LUAL,4,T,N,0.84,0.56,7,10.151,2:42,162,2.7,5,505.52,187.2296296,0.026705175
LUAL5,LUAL,5,C,N,0.58,0.6,5,9.867,2:35,155,2.583333333,18,315.95,122.3032258,0.147175186
LUAL6,LUAL,6,T,N,0.6,0.64,3,13.333,2:46,166,2.766666667,15,379.14,137.0385542,0.109458248
LUAL7,LUAL,7,T,N,0.8,0.68,4,NA,3:02,211,3.516666667,39,631.9,179.6872038,0.217043836
LUAL8,LUAL,8,C,N,0.85,0.78,9,13.862,3:04,184,3.066666667,9,568.71,185.448913,0.048530886
LUAL9,LUAL,9,C,N,0.91,0.77,5,13.353,2:01,121,2.016666667,28,821.47,407.3404959,0.068738562
LUAL10,LUAL,10,T,N,0.84,0.6,7,15.044,3:03,183,3.05,9,505.52,165.7442623,0.054300522
LUAL11,LUAL,11,T,N,0.98,0.53,5,13.517,3:09,189,3.15,41,505.52,160.4825397,0.255479506
LUAL12,LUAL,12,T,N,0.81,0.7,11,5.041,2:31,151,2.516666667,51,758.28,301.3033113,0.169264652
LUAL13,LUAL,13,T,N,0.8,0.71,10,5.249,2:18,138,2.3,36,631.9,274.7391304,0.131033391
SAAP1,SAAP,1,T,Y,0.98,1.24,12,NA,2:47,167,2.783333333,37,1433.7,515.1017964,0.071830462
SAAP2,SAAP,2,C,N,0.82,0.9,14,NA,2:51,171,2.85,38,764.64,268.2947368,0.141635279
SAAP3,SAAP,3,T,Y,1.09,0.77,13,NA,2:18,138,2.3,51,1146.96,498.6782609,0.102270349
SAAP4,SAAP,4,C,Y,1.01,1.42,17,NA,4:31,271,4.516666667,37,1624.86,359.7476015,0.102849887
SAAP5,SAAP,5,T,N,1.04,0.78,9,NA,2:39,159,2.65,19,716.85,270.509434,0.070237846
SAAP6,SAAP,6,C,N,1.11,0.54,11,7.58,2:34,154,2.566666667,31,1146.96,446.8675325,0.069371789
SAAP7,SAAP,7,T,Y,0.91,0.78,8,NA,2:40,160,2.666666667,33,860.22,322.5825,0.102299412
SAAP8,SAAP,8,C,N,0.83,0.92,6,7.555,3:13,193,3.216666667,6,573.48,178.2839378,0.033654181
SAAP9,SAAP,9,T,N,0.87,0.8,7,3.5,2:33,153,2.55,22,955.8,374.8235294,0.058694288
SAAP10,SAAP,10,T,N,1.21,0.67,13,NA,2:45,165,2.75,73,1529.28,556.1018182,0.131270925
SAAP11,SAAP,11,T,N,1.02,0.72,10,NA,2:32,152,2.533333333,46,1146.96,452.7473684,0.101601916
SAAP12,SAAP,12,C,N,0.85,0.9,8,1.286,2:20,140,2.333333333,21,860.22,368.6657143,0.056962172
SAAP14,SAAP,14,C,N,1.13,0,8,NA,2:19,139,2.316666667,43,1146.96,,NA
