"sps","family","genus","order","species","subfamily","tribe"
"Artemisia californica","Asteraceae","Artemisia","Asterales","Artemisia californica","Asteroideae","Anthemideae"
"Artemisia douglasiana","Asteraceae","Artemisia","Asterales","Artemisia douglasiana","Asteroideae","Anthemideae"
"Encelia californica","Asteraceae","Encelia","Asterales","Encelia californica","Asteroideae","Heliantheae"
"Ericameria palmeri","Asteraceae","Ericameria","Asterales","Ericameria palmeri","Asteroideae","Astereae"
"Eriogonum fasciculatum","Polygonaceae","Eriogonum","Caryophyllales","Eriogonum fasciculatum","Eriogonoideae","Eriogoneae"
"Isocoma menziesii","Asteraceae","Isocoma","Asterales","Isocoma menziesii","Asteroideae","Astereae"
"Lupinus albifrons","Fabaceae","Lupinus","Fabales","Lupinus albifrons","Papilionoideae","Genisteae"
"Salvia apiana","Lamiaceae","Salvia","Lamiales","Salvia apiana","Nepetoideae","Mentheae"
"Salvia mellifera","Lamiaceae","Salvia","Lamiales","Salvia mellifera","Nepetoideae","Mentheae"
