feed,ID
pred,ACAR
pred,ANT
pred,ARAN
herb,ARCH
herb,AUCH
pred,BEE
pred,COCC
herb,COLE
omni,DERM
herb,DIPT
pred,HETE
pred,HYME
herb,ISOP
herb,LEPI
omni,MIRID
pred,NEUR
herb,ORTH
herb,PSOC
herb,STER
herb,THYS
pred,WASP
