"species","Sample","treat","herb","omni","pred","herb_om"
"ARCA","ARCA1","C",0.5446,0.0015,6.24679792989429,0.5461
"ARCA","ARCA10","C",7.24238067347774,0,4.67870630896787,7.24238067347774
"ARCA","ARCA11","T",15.2560570972525,0,10.750262635165,15.2560570972525
"ARCA","ARCA14","C",5.26333347946314,0,27.5784763202497,5.26333347946314
"ARCA","ARCA2","T",13.7950068596,0,0,13.7950068596
"ARCA","ARCA3","T",10.3094166168632,0,0.2659,10.3094166168632
"ARCA","ARCA4","T",6.96919475330521,1.41609254248404,5.14010446585264,8.38528729578924
"ARCA","ARCA5","C",4.77393347946314,0,24.3672240873234,4.77393347946314
"ARCA","ARCA6","T",17.22565757268,0,7.63495669877896,17.22565757268
"ARCA","ARCA7","T",6.43788199675791,0,6.39931279432973,6.43788199675791
"ARCA","ARCA8","C",5.2126002873478,5.66437016993615,5.04830630896787,10.8769704572839
"ARCA","ARCA9","T",7.79482061287189,0,0.3716,7.79482061287189
"ARDO","ARDO1","T",15.4759235907322,0,5.16900538741025,15.4759235907322
"ARDO","ARDO10","C",10.398725233859,1.41609254248404,5.19200538741025,11.814817776343
"ARDO","ARDO11","C",3.96409639352804,0,5.06460538741025,3.96409639352804
"ARDO","ARDO12","T",7.15394441124215,0,8.22451844163151,7.15394441124215
"ARDO","ARDO13","C",3.6622473766526,0,4.80727762745211,3.6622473766526
"ARDO","ARDO3","T",11.4345952863699,0,2.99465223292632,11.4345952863699
"ARDO","ARDO4","T",15.895127835943,0.0341,5.14010446585264,15.929227835943
"ARDO","ARDO5","T",0.868357798349984,0,6.37209475330521,0.868357798349984
"ARDO","ARDO6","T",3.53604033673887,0,7.50695854189419,3.53604033673887
"ARDO","ARDO7","T",2.09624390116052,0,8.92205016282061,2.09624390116052
"ARDO","ARDO8","C",15.3563361991369,0,1.52049254248404,15.3563361991369
"ARDO","ARDO9","C",2.15048365791667,0,6.9406594634518,2.15048365791667
"ENCA","ENCA1","T",0.1408,1.41609254248404,4.36257684281024,1.55689254248404
"ENCA","ENCA10","C",0.2065,1.41609254248404,0,1.62259254248404
"ENCA","ENCA11","C",0.656,0,0.1636,0.656
"ENCA","ENCA12","T",2.92545073945482,0,4.96020538741025,2.92545073945482
"ENCA","ENCA14","T",0.4036,0,0,0.4036
"ENCA","ENCA2","C",0.0548,0,8.93935016282061,0.0548
"ENCA","ENCA3","T",6.79629475330521,2.90038508496807,7.09192421946284,9.69667983827328
"ENCA","ENCA4","C",20.8351824351473,0,2.38475315448393,20.8351824351473
"ENCA","ENCA5","C",11.6627658182841,1.41609254248404,3.32185223292632,13.0788583607681
"ENCA","ENCA6","T",0.819357798349984,0.0682,4.96020538741025,0.887557798349984
"ENCA","ENCA7","C",8.69858953261051,0,1.9202236883263,8.69858953261051
"ENCA","ENCA8","T",20.4186951916946,1.45019254248404,18.204933177683,21.8688877341787
"ENCA","ENCA9","T",15.7917241267157,0,11.8459001407155,15.7917241267157
"ERFA","ERFA1","C",3.68079535796386,1.45019254248404,5.27453823945201,5.1309879004479
"ERFA","ERFA10","T",2.72825488172624,1.72299254248404,5.87540446585264,4.45124742421028
"ERFA","ERFA11","T",1.47277103148002,11.5674403398723,4.98240538741025,13.0402113713523
"ERFA","ERFA12","T",3.8518473766526,0,9.87341077482051,3.8518473766526
"ERFA","ERFA13","T",2.16369731595621,0.0341,0.6996,2.19779731595621
"ERFA","ERFA2","T",1.7160236883263,8.00116271242018,6.22610446585264,9.71718640074648
"ERFA","ERFA3","T",1.6478236883263,0.0341,2.90038508496807,1.6819236883263
"ERFA","ERFA4","C",3.51680979113684,1.48429254248404,10.9276436268623,5.00110233362087
"ERFA","ERFA5","C",1.9076236883263,8.66705525490422,1.49685370345974,10.5746789432305
"ERFA","ERFA6","T",6.64080379638234,0,17.7339003256412,6.64080379638234
"ERFA","ERFA7","C",0.582,8.63295525490422,1.86779254248404,9.21495525490422
"ERFA","ERFA8","T",5.74491548110225,0,0.1636,5.74491548110225
"ERFA","ERFA9","C",1.11861735298954,5.90307016993615,10.1744107748205,7.02168752292569
"ERPA","ERPA1","T",2.64159471980632,0.0341,0.1636,2.67569471980632
"ERPA","ERPA10","C",0.548,0,1.1793,0.548
"ERPA","ERPA11","T",0.069,0,0.589,0.069
"ERPA","ERPA12","T",0.2033,0.0341,1.0498,0.2374
"ERPA","ERPA13","T",2.6713236883263,0,0.268,2.6713236883263
"ERPA","ERPA2","C",0.2841,0,0,0.2841
"ERPA","ERPA3","T",11.3877658182841,0,9.72231169637812,11.3877658182841
"ERPA","ERPA4","C",8.19202405971796,0,5.54930446585264,8.19202405971796
"ERPA","ERPA5","T",0.4844,1.41609254248404,12.8232648508621,1.90049254248404
"ERPA","ERPA6","C",0.4384,0,0.164,0.4384
"ERPA","ERPA7","T",0.121,0.341,8.34125762033657,0.462
"ERPA","ERPA8","C",11.8671658182841,0,2.87395315448393,11.8671658182841
"ERPA","ERPA9","T",0.123,0,0,0.123
"ISME","ISME1","T",4.9434710649789,0,2.72665223292632,4.9434710649789
"ISME","ISME10","C",24.0183553248945,0,0.0682,24.0183553248945
"ISME","ISME11","C",35.5471211431786,0,2.68145223292632,35.5471211431786
"ISME","ISME12","C",14.7360605380904,0.0341,2.69045223292632,14.7701605380904
"ISME","ISME13","C",25.8889790132208,0,0,25.8889790132208
"ISME","ISME2","T",6.02275286844673,0.192703152594136,2.99465223292632,6.21545602104086
"ISME","ISME3","T",9.67774212995781,0,5.03570446585264,9.67774212995781
