"species","Sample","treat","pred_abun","pred_mg","herb_abun","herb_mg","omni_abun","omni_mg","total_abun","total_mg","sample_g","plant_g","vaccum","vac_sec","vac_min","flower","diameter","height","complexity"
"ERFA","ERFA1","C",2,5.10620436799116,26,7.49076402166135,2,7.02701496255823,30,19.6239833522107,23.456,564.59,"3:26",206,3.43333333333333,"Y",1.43,0.9,14
"ERFA","ERFA10","T",9,14.6913782110078,23,9.41523576984047,1,0.653516130647452,33,24.7601301114957,4.186,477.73,"2:43",163,2.71666666666667,"Y",1.31,0.65,21
"ERFA","ERFA11","T",4,5.24182702713549,17,4.82225119643011,10,0.341,31,10.4050782235656,18.28,651.45,"2:51",171,2.85,"Y",1.14,0.71,20
"ERFA","ERFA12","T",6,3.43333604694405,26,7.19926910486467,2,0.321158637940789,34,10.9537637897495,10.856,651.45,"2:44",164,2.73333333333333,"Y",1.2,0.8,14
"ERFA","ERFA13","T",5,4.55365568785796,15,4.13282055064384,0,0,20,8.6864762385018,5.252,304.01,"2:13",133,2.21666666666667,"Y",1.09,0.77,14
"ERFA","ERFA2","T",8,12.206358721166,11,3.06086967175918,26,0.8866,45,16.1538283929252,22.282,608.02,"3:38",218,3.63333333333333,"Y",1.27,0.85,16
"ERFA","ERFA3","T",0,0,14,1.60892331361225,3,0.974674768588241,17,2.58359808220049,20.992,477.73,"2:30",150,2.5,"Y",1.19,0.55,24
"ERFA","ERFA4","C",6,1.81947934965931,19,5.75564222406498,3,0.236923222685379,28,7.81204479640966,17.533,434.3,"2:00",120,2,"Y",1.24,0.57,25
"ERFA","ERFA5","C",6,6.37184250290447,19,4.62574554677443,0,0,25,10.9975880496789,NA,608.02,NA,NA,NA,"Y",0.99,0.63,16
"ERFA","ERFA6","T",3,4.78795317707711,20,7.4701664572829,5,4.66805519191317,28,16.9261748262732,NA,477.73,NA,NA,NA,"Y",1.3,0.71,18
